OrderId,Return_reason
OR-029284,Product no longer wanted
OR-037627,Changed mind
OR-006153,No longer needed
OR-016807,Delayed delivery
OR-112787,Received wrong quantity
OR-022921,Received wrong quantity
OR-083854,Delayed delivery
OR-022303,Received wrong quantity
OR-027763,Received wrong quantity
OR-086755,Delayed delivery
OR-032411,Better price found elsewhere
OR-086286,Item not as described
OR-059765,Poor customer service
OR-041036,No longer needed
OR-097131,Received wrong quantity
OR-038661,Poor customer service
OR-106692,Damaged item
OR-073558,No longer needed
OR-047668,Item not as described
OR-076488,Damaged item
OR-028213,No longer needed
OR-050050,Changed mind
OR-119151,Changed mind
OR-124791,Delayed delivery
OR-103306,Received wrong quantity
OR-116568,Delayed delivery
OR-040586,Damaged item
OR-034558,No longer needed
OR-106279,Poor customer service
OR-053950,Incorrect item shipped
OR-030945,No longer needed
OR-066324,Poor customer service
OR-028529,Better price found elsewhere
OR-015005,Received wrong quantity
OR-089446,Better price found elsewhere
OR-050273,Better price found elsewhere
OR-014678,Item not as described
OR-095815,Product no longer wanted
OR-047133,Item not as described
OR-107141,Delayed delivery
OR-096021,Damaged item
OR-031693,Better price found elsewhere
OR-042754,Item not as described
OR-094669,No longer needed
OR-025246,Item not as described
OR-033983,Product no longer wanted
OR-117117,No longer needed
OR-099229,Better price found elsewhere
OR-112170,Damaged item
OR-099766,Item not as described
OR-064206,Item not as described
OR-098152,Poor customer service
OR-118247,Changed mind
OR-059335,Better price found elsewhere
OR-023565,Changed mind
OR-099141,Damaged item
OR-037722,Item not as described
OR-009590,Item not as described
OR-027625,Received wrong quantity
OR-085993,Changed mind
OR-016042,Better price found elsewhere
OR-074252,Product no longer wanted
OR-105697,Damaged item
OR-110421,Delayed delivery
OR-018555,Changed mind
OR-029908,Better price found elsewhere
OR-063987,Incorrect item shipped
OR-001544,Product no longer wanted
OR-064210,No longer needed
OR-094511,Damaged item
OR-098941,Product no longer wanted
OR-092612,Product no longer wanted
OR-014720,Item not as described
OR-013466,Incorrect item shipped
OR-007531,Better price found elsewhere
OR-051043,Product no longer wanted
OR-030423,Poor customer service
OR-122065,Damaged item
OR-074922,Damaged item
OR-102213,Better price found elsewhere
OR-109325,Product no longer wanted
OR-046122,Changed mind
OR-091699,Better price found elsewhere
OR-030984,Delayed delivery
OR-025397,Changed mind
OR-030218,Incorrect item shipped
OR-020946,No longer needed
OR-035057,Product no longer wanted
OR-068247,No longer needed
OR-036663,Product no longer wanted
OR-059783,Better price found elsewhere
OR-067917,No longer needed
OR-100946,No longer needed
OR-055191,Better price found elsewhere
OR-069312,Changed mind
OR-037798,Product no longer wanted
OR-103456,Item not as described
OR-027687,Incorrect item shipped
OR-012357,Poor customer service
OR-078957,Damaged item
OR-065884,Incorrect item shipped
OR-057742,Incorrect item shipped
OR-071036,Poor customer service
OR-007490,Better price found elsewhere
OR-065630,Incorrect item shipped
OR-060939,Delayed delivery
OR-013112,Better price found elsewhere
OR-082659,Changed mind
OR-114101,No longer needed
OR-073262,Incorrect item shipped
OR-106159,Changed mind
OR-010440,Delayed delivery
OR-090733,Better price found elsewhere
OR-107013,Item not as described
OR-017178,Item not as described
OR-010930,Damaged item
OR-012108,Item not as described
OR-087470,Item not as described
OR-070525,Delayed delivery
OR-084565,Delayed delivery
OR-049724,No longer needed
OR-068143,Received wrong quantity
OR-083985,Better price found elsewhere
OR-039017,Better price found elsewhere
OR-032733,Delayed delivery
OR-069642,Better price found elsewhere
OR-022077,Changed mind
OR-019163,Poor customer service
OR-002860,Poor customer service
OR-075908,Item not as described
OR-075968,Better price found elsewhere
OR-019220,Incorrect item shipped
OR-051193,No longer needed
OR-122859,Delayed delivery
OR-088180,Changed mind
OR-053372,Damaged item
OR-042157,No longer needed
OR-031855,Item not as described
OR-070141,Changed mind
OR-078541,Product no longer wanted
OR-005029,Changed mind
OR-109598,Delayed delivery
OR-118637,Changed mind
OR-054801,Product no longer wanted
OR-069609,No longer needed
OR-075254,Incorrect item shipped
OR-049374,Incorrect item shipped
OR-042220,Delayed delivery
OR-056856,Poor customer service
OR-026720,No longer needed
OR-002595,Changed mind
OR-091678,Changed mind
OR-050842,Poor customer service
OR-106241,Delayed delivery
OR-036147,Incorrect item shipped
OR-013529,No longer needed
OR-019427,Better price found elsewhere
OR-064364,Received wrong quantity
OR-108683,Delayed delivery
OR-094755,Delayed delivery
OR-065452,No longer needed
OR-075669,Poor customer service
OR-067718,Changed mind
OR-052519,Incorrect item shipped
OR-015036,Product no longer wanted
OR-096509,Incorrect item shipped
OR-113194,Delayed delivery
OR-024361,Item not as described
OR-106461,Changed mind
OR-006288,Delayed delivery
OR-048722,Incorrect item shipped
OR-029444,Damaged item
OR-083786,Received wrong quantity
OR-095547,No longer needed
OR-081487,Better price found elsewhere
OR-094124,Received wrong quantity
OR-007754,No longer needed
OR-084839,Item not as described
OR-013929,Item not as described
OR-070887,Changed mind
OR-011702,Item not as described
OR-101753,No longer needed
OR-093074,No longer needed
OR-062033,Changed mind
OR-039612,Item not as described
OR-043184,Received wrong quantity
OR-008141,Better price found elsewhere
OR-052782,Changed mind
OR-081014,No longer needed
OR-080407,Better price found elsewhere
OR-012684,No longer needed
OR-086307,Delayed delivery
OR-021546,Better price found elsewhere
OR-006472,No longer needed
OR-048033,No longer needed
OR-057850,Received wrong quantity
OR-108093,Changed mind
OR-019869,Incorrect item shipped
OR-093637,Changed mind
OR-106758,Damaged item
OR-023715,Received wrong quantity
OR-021039,Item not as described
OR-092153,Changed mind
OR-053739,Received wrong quantity
OR-094522,Incorrect item shipped
OR-057228,Poor customer service
OR-115215,Product no longer wanted
OR-044932,Changed mind
OR-046011,Delayed delivery
OR-121518,Received wrong quantity
OR-096443,Changed mind
OR-098809,Delayed delivery
OR-077050,Incorrect item shipped
OR-031404,Changed mind
OR-006640,Incorrect item shipped
OR-011650,Changed mind
OR-035104,Damaged item
OR-030872,No longer needed
OR-073085,Better price found elsewhere
OR-033616,Received wrong quantity
OR-108184,Item not as described
OR-123413,Received wrong quantity
OR-105741,Delayed delivery
OR-026711,Item not as described
OR-086755,Better price found elsewhere
OR-005315,No longer needed
OR-105301,Incorrect item shipped
OR-046055,Delayed delivery
OR-035227,No longer needed
OR-071089,Changed mind
OR-061668,Poor customer service
OR-080113,Received wrong quantity
OR-115011,Item not as described
OR-042902,Damaged item
OR-035405,No longer needed
OR-049860,Product no longer wanted
OR-064149,Damaged item
OR-036730,Better price found elsewhere
OR-090284,Poor customer service
OR-024204,Better price found elsewhere
OR-043578,Better price found elsewhere
OR-105734,Changed mind
OR-090471,Incorrect item shipped
OR-003464,Item not as described
OR-121384,Changed mind
OR-069892,Changed mind
OR-125464,Delayed delivery
OR-053590,Delayed delivery
OR-103340,Better price found elsewhere
OR-095080,Delayed delivery
OR-076606,Incorrect item shipped
OR-117675,Poor customer service
OR-017366,Poor customer service
OR-040354,Poor customer service
OR-097421,Incorrect item shipped
OR-121467,Changed mind
OR-121374,Poor customer service
OR-105708,Changed mind
OR-093441,Better price found elsewhere
OR-072640,Item not as described
OR-126089,Better price found elsewhere
OR-056163,Changed mind
OR-073426,Received wrong quantity
OR-003052,Received wrong quantity
OR-064981,Poor customer service
OR-014727,Delayed delivery
OR-079296,Incorrect item shipped
OR-098822,Item not as described
OR-081283,Changed mind
OR-075176,Received wrong quantity
OR-122575,Item not as described
OR-118207,Incorrect item shipped
OR-072173,Incorrect item shipped
OR-021274,Incorrect item shipped
OR-052908,Better price found elsewhere
OR-125694,Poor customer service
OR-030006,Damaged item
OR-098593,Damaged item
OR-075609,Received wrong quantity
OR-086260,Damaged item
OR-108878,Item not as described
OR-066449,Item not as described
OR-089587,Changed mind
OR-017873,Better price found elsewhere
OR-109456,Item not as described
OR-029574,Poor customer service
OR-073674,Incorrect item shipped
OR-090854,Damaged item
OR-030995,Changed mind
OR-015706,Changed mind
OR-000519,Received wrong quantity
OR-035190,Better price found elsewhere
OR-079344,Received wrong quantity
OR-017260,Item not as described
OR-035671,Changed mind
OR-056797,Poor customer service
OR-111821,Delayed delivery
OR-017522,Delayed delivery
OR-014986,Changed mind
OR-099424,Delayed delivery
OR-043551,Incorrect item shipped
OR-034373,Better price found elsewhere
OR-106680,Received wrong quantity
OR-120907,Changed mind
OR-004906,Incorrect item shipped
OR-003014,Damaged item
OR-040956,Incorrect item shipped
OR-060231,Changed mind
OR-055184,Changed mind
OR-081168,Delayed delivery
OR-109474,No longer needed
OR-058432,Damaged item
OR-096289,Changed mind
OR-123762,Changed mind
OR-117299,No longer needed
OR-002124,Changed mind
OR-058943,Received wrong quantity
OR-077313,Incorrect item shipped
OR-069750,Incorrect item shipped
OR-074312,Incorrect item shipped
OR-010027,Better price found elsewhere
OR-055973,Delayed delivery
OR-070945,Changed mind
OR-038908,No longer needed
OR-090004,Changed mind
OR-078430,Incorrect item shipped
OR-003068,Item not as described
OR-090241,Damaged item
OR-079813,Incorrect item shipped
OR-051155,Poor customer service
OR-002556,Damaged item
OR-122490,Poor customer service
OR-082675,Better price found elsewhere
OR-100388,Poor customer service
OR-059486,No longer needed
OR-107357,Item not as described
OR-080930,Damaged item
OR-011318,Poor customer service
OR-027179,Poor customer service
OR-102186,No longer needed
OR-116448,Incorrect item shipped
OR-116067,Changed mind
OR-123322,Received wrong quantity
OR-096487,Product no longer wanted
OR-070071,Received wrong quantity
OR-009806,Damaged item
OR-094477,Received wrong quantity
OR-089850,Delayed delivery
OR-110503,Poor customer service
OR-084454,No longer needed
OR-020064,No longer needed
OR-115752,Better price found elsewhere
OR-099173,Incorrect item shipped
OR-059466,No longer needed
OR-063925,Delayed delivery
OR-009796,Better price found elsewhere
OR-064140,Product no longer wanted
OR-012076,Product no longer wanted
OR-008939,Delayed delivery
OR-025888,Received wrong quantity
OR-002442,Poor customer service
OR-015574,Product no longer wanted
OR-073003,Damaged item
OR-094773,Product no longer wanted
OR-083875,No longer needed
OR-043889,Item not as described
OR-065618,Damaged item
OR-075757,Item not as described
OR-098330,Changed mind
OR-090204,Incorrect item shipped
OR-100138,Delayed delivery
OR-124025,Delayed delivery
OR-048632,Incorrect item shipped
OR-029085,No longer needed
OR-058901,Item not as described
OR-060634,Delayed delivery
OR-069801,Poor customer service
OR-006705,Poor customer service
OR-008106,Product no longer wanted
OR-094833,Item not as described
OR-118720,Delayed delivery
OR-074377,Changed mind
OR-081073,Received wrong quantity
OR-025178,Received wrong quantity
OR-024833,Item not as described
OR-024102,Item not as described
OR-018861,Product no longer wanted
OR-024248,Damaged item
OR-114818,Incorrect item shipped
OR-064419,Item not as described
OR-071921,Damaged item
OR-119274,Incorrect item shipped
OR-004663,Poor customer service
OR-100485,No longer needed
OR-120443,Poor customer service
OR-106486,Incorrect item shipped
OR-089107,No longer needed
OR-117829,Better price found elsewhere
OR-056360,No longer needed
OR-123291,Delayed delivery
OR-042823,Damaged item
OR-084016,Received wrong quantity
OR-113685,Product no longer wanted
OR-063012,Damaged item
OR-005788,Changed mind
OR-080932,Product no longer wanted
OR-114711,Damaged item
OR-100073,Better price found elsewhere
OR-032048,Poor customer service
OR-031885,Poor customer service
OR-046240,No longer needed
OR-009541,No longer needed
OR-052188,Poor customer service
OR-068992,Delayed delivery
OR-095745,Better price found elsewhere
OR-081739,Changed mind
OR-121349,Received wrong quantity
OR-051300,Delayed delivery
OR-035571,Damaged item
OR-030314,Better price found elsewhere
OR-105195,Changed mind
OR-061028,Received wrong quantity
OR-034597,Poor customer service
OR-003619,Product no longer wanted
OR-051998,Product no longer wanted
OR-062750,Poor customer service
OR-119076,Product no longer wanted
OR-001422,Received wrong quantity
OR-052850,No longer needed
OR-004855,Changed mind
OR-022991,Product no longer wanted
OR-120536,Damaged item
OR-016966,Incorrect item shipped
OR-122853,Received wrong quantity
OR-092242,No longer needed
OR-103555,Received wrong quantity
OR-042931,Damaged item
OR-102115,Poor customer service
OR-041989,No longer needed
OR-088861,Poor customer service
OR-085108,Changed mind
OR-073511,Delayed delivery
OR-088171,Better price found elsewhere
OR-006489,Delayed delivery
OR-010080,No longer needed
OR-031368,Poor customer service
OR-102165,Better price found elsewhere
OR-082728,Incorrect item shipped
OR-046161,Changed mind
OR-045349,Product no longer wanted
OR-086452,Product no longer wanted
OR-081866,Item not as described
OR-060626,Poor customer service
OR-048981,No longer needed
OR-096896,Delayed delivery
OR-051840,Received wrong quantity
OR-098222,Item not as described
OR-068367,Damaged item
OR-092656,Received wrong quantity
OR-097171,Product no longer wanted
OR-001534,Damaged item
OR-098042,Received wrong quantity
OR-045766,Poor customer service
OR-053465,Changed mind
OR-058145,Poor customer service
OR-104871,Received wrong quantity
OR-069281,Delayed delivery
OR-019566,Product no longer wanted
OR-030193,No longer needed
OR-098671,Item not as described
OR-101964,Poor customer service
OR-050978,Incorrect item shipped
OR-012154,Poor customer service
OR-029328,No longer needed
OR-005803,Delayed delivery
OR-108972,Delayed delivery
OR-079059,Delayed delivery
OR-009872,Item not as described
OR-015909,Received wrong quantity
OR-040944,Item not as described
OR-095257,No longer needed
OR-050986,Poor customer service
OR-097249,Delayed delivery
OR-047227,Delayed delivery
OR-111690,Damaged item
OR-089726,Poor customer service
OR-051764,Product no longer wanted
OR-010128,No longer needed
OR-055667,Item not as described
OR-100594,Poor customer service
OR-064311,Delayed delivery
OR-034820,Item not as described
OR-108733,No longer needed
OR-094209,No longer needed
OR-122132,Poor customer service
OR-104460,Incorrect item shipped
OR-011116,Received wrong quantity
OR-095520,Better price found elsewhere
OR-102639,Product no longer wanted
OR-123018,Delayed delivery
OR-104984,Incorrect item shipped
OR-034225,Poor customer service
OR-065223,No longer needed
OR-121249,Poor customer service
OR-119953,Received wrong quantity
OR-054971,Item not as described
OR-006499,Item not as described
OR-077816,Changed mind
OR-093413,Damaged item
OR-102765,Delayed delivery
OR-050425,Product no longer wanted
OR-082152,Better price found elsewhere
OR-118011,No longer needed
OR-065803,Better price found elsewhere
OR-080030,Damaged item
OR-100281,Poor customer service
OR-075700,Received wrong quantity
OR-097751,Product no longer wanted
OR-052331,Product no longer wanted
OR-085860,No longer needed
OR-036530,No longer needed
OR-031548,Incorrect item shipped
OR-113332,Better price found elsewhere
OR-087183,Incorrect item shipped
OR-019616,Changed mind
OR-028898,Poor customer service
OR-003572,Poor customer service
OR-043452,Item not as described
OR-115542,No longer needed
OR-048358,Item not as described
OR-079977,Better price found elsewhere
OR-007499,Incorrect item shipped
OR-019314,Changed mind
OR-103386,Item not as described
OR-108708,Poor customer service
OR-035408,No longer needed
OR-045770,Delayed delivery
OR-056325,Item not as described
OR-050533,No longer needed
OR-103591,Received wrong quantity
OR-005290,Incorrect item shipped
OR-089174,Changed mind
OR-102885,Changed mind
OR-093372,Changed mind
OR-114765,No longer needed
OR-099031,Product no longer wanted
OR-096585,Better price found elsewhere
OR-054854,Delayed delivery
OR-117389,Received wrong quantity
OR-097372,Incorrect item shipped
OR-087144,Poor customer service
OR-016641,Incorrect item shipped
