orderid,customerid,orderdate,shippingdate,expecteddeliverydate,actualdeliverydate,shippingtierid,supplierid,orderchannel
OR-11016,CUST-16034,29-06-2024 03:38,29-06-2024 03:43,29-06-2024 04:00,29-06-2024 04:09,SHP-004,SUP-10,Retail PoS
OR-11023,CUST-15477,31-03-2021 07:54,04-04-2021 16:18,08-04-2021 12:20,01-05-2021 00:09,SHP-001,SUP-08,Online
OR-11028,CUST-03110,26-01-2023 09:37,05-02-2023 14:55,17-02-2023 04:39,11-02-2023 21:45,SHP-001,SUP-07,Online
OR-11029,CUST-19906,15-08-2023 03:34,19-08-2023 20:53,23-08-2023 01:32,22-08-2023 03:51,SHP-003,SUP-09,Online
OR-11038,CUST-09274,25-05-2010 23:31,25-05-2010 23:36,25-05-2010 23:55,25-05-2010 23:55,SHP-004,SUP-01,Retail PoS
OR-11040,CUST-14949,30-04-2022 20:46,04-05-2022 15:20,20-05-2022 19:22,08-06-2022 17:34,SHP-001,SUP-01,Online
OR-11044,CUST-01073,09-08-2022 22:50,09-08-2022 23:00,09-08-2022 23:15,09-08-2022 23:22,SHP-004,SUP-04,Retail PoS
OR-11049,CUST-09213,06-02-2020 23:06,09-02-2020 10:37,27-02-2020 00:40,17-03-2020 19:14,SHP-002,SUP-04,Online
OR-11051,CUST-11902,19-01-2024 12:28,19-01-2024 12:35,19-01-2024 12:49,19-01-2024 12:52,SHP-004,SUP-09,Retail PoS
OR-11056,CUST-10557,04-09-2022 12:14,08-09-2022 20:15,26-09-2022 14:22,21-09-2022 10:29,SHP-003,SUP-02,Online
OR-11057,CUST-09933,26-02-2024 12:43,26-02-2024 12:51,26-02-2024 13:12,26-02-2024 13:11,SHP-004,SUP-08,Retail PoS
OR-11063,CUST-18984,28-05-2021 17:51,04-06-2021 10:14,14-06-2021 02:44,11-06-2021 05:25,SHP-002,SUP-03,Online
OR-11064,CUST-05313,29-05-2021 16:11,09-06-2021 01:33,18-06-2021 18:41,14-07-2021 23:27,SHP-003,SUP-06,Online
OR-11067,CUST-10740,29-01-2023 05:44,01-02-2023 01:53,06-02-2023 07:02,05-02-2023 09:18,SHP-001,SUP-08,Online
OR-11071,CUST-10091,11-03-2024 07:45,14-03-2024 12:45,30-03-2024 03:10,27-03-2024 05:51,SHP-002,SUP-07,Online
OR-11077,CUST-17659,13-05-2024 02:36,20-05-2024 21:42,06-06-2024 14:01,28-05-2024 14:42,SHP-001,SUP-07,Online
OR-11078,CUST-02334,29-08-2022 06:52,29-08-2022 06:57,29-08-2022 07:20,29-08-2022 07:07,SHP-004,SUP-07,Retail PoS
OR-11097,CUST-07026,26-04-2018 16:14,26-04-2018 16:21,26-04-2018 16:37,26-04-2018 16:37,SHP-004,SUP-04,Retail PoS
OR-11104,CUST-06094,06-07-2014 05:41,11-07-2014 19:21,24-07-2014 09:49,21-07-2014 16:04,SHP-001,SUP-04,Online
OR-11105,CUST-10355,13-06-2022 19:21,14-06-2022 22:28,21-06-2022 17:39,16-06-2022 23:06,SHP-003,SUP-09,Online
OR-11111,CUST-18261,02-03-2024 00:31,09-03-2024 21:59,30-03-2024 15:54,11-03-2024 01:01,SHP-001,SUP-01,Online
OR-11137,CUST-13208,09-12-2017 21:20,13-12-2017 17:22,30-12-2017 09:12,17-12-2017 05:46,SHP-002,SUP-04,Online
OR-11139,CUST-09418,07-01-2024 19:01,18-01-2024 14:25,21-01-2024 21:26,20-01-2024 04:15,SHP-003,SUP-09,Online
OR-11144,CUST-17320,17-01-2018 20:00,23-01-2018 05:54,03-02-2018 23:39,25-01-2018 01:10,SHP-001,SUP-10,Online
OR-11170,CUST-11175,20-11-2023 18:47,20-11-2023 18:57,20-11-2023 19:11,20-11-2023 19:24,SHP-004,SUP-06,Retail PoS
OR-11199,CUST-10547,19-11-2019 04:37,19-11-2019 04:45,19-11-2019 04:59,19-11-2019 05:04,SHP-004,SUP-04,Retail PoS
OR-11206,CUST-06199,13-02-2023 05:18,19-02-2023 08:23,04-03-2023 08:19,23-02-2023 20:36,SHP-001,SUP-03,Online
OR-11220,CUST-12354,22-11-2022 07:42,23-11-2022 20:25,05-12-2022 23:36,25-12-2022 16:01,SHP-002,SUP-08,Online
OR-11243,CUST-04342,17-12-2023 14:34,17-12-2023 14:40,17-12-2023 14:54,17-12-2023 14:56,SHP-004,SUP-04,Retail PoS
OR-11244,CUST-02056,03-01-2023 19:36,11-01-2023 15:29,31-01-2023 17:33,23-02-2023 10:46,SHP-003,SUP-05,Online
OR-11258,CUST-16706,16-09-2022 04:37,16-09-2022 04:47,16-09-2022 05:02,16-09-2022 05:16,SHP-004,SUP-04,Retail PoS
OR-11263,CUST-11226,16-08-2021 15:58,19-08-2021 12:53,25-08-2021 14:04,04-09-2021 10:33,SHP-001,SUP-10,Online
OR-11267,CUST-11861,02-02-2005 13:01,11-02-2005 14:48,14-02-2005 17:20,13-02-2005 00:16,SHP-002,SUP-02,Online
OR-11299,CUST-00623,07-02-2024 14:05,07-02-2024 14:11,07-02-2024 14:29,07-02-2024 14:29,SHP-004,SUP-10,Retail PoS
OR-11314,CUST-11540,31-05-2016 07:19,09-06-2016 07:25,29-06-2016 13:16,17-07-2016 10:36,SHP-001,SUP-09,Online
OR-11317,CUST-08129,12-09-2023 22:30,20-09-2023 21:20,03-10-2023 02:17,25-09-2023 06:41,SHP-003,SUP-09,Online
OR-11326,CUST-18565,18-03-2024 00:31,25-03-2024 20:25,27-03-2024 01:12,26-03-2024 13:40,SHP-003,SUP-10,Online
OR-11334,CUST-10760,14-06-2024 22:24,16-06-2024 22:32,07-07-2024 03:24,05-07-2024 10:25,SHP-003,SUP-03,Online
OR-11343,CUST-10085,12-04-2023 09:44,15-04-2023 02:41,26-04-2023 07:07,27-04-2023 21:52,SHP-003,SUP-09,Online
OR-11345,CUST-18015,17-03-2024 01:43,20-03-2024 13:32,29-03-2024 18:35,26-03-2024 02:42,SHP-001,SUP-07,Online
OR-11349,CUST-17398,13-02-2024 17:30,17-02-2024 03:17,18-02-2024 19:46,18-02-2024 06:49,SHP-002,SUP-04,Online
OR-11350,CUST-02640,28-11-2023 18:46,28-11-2023 18:51,28-11-2023 19:08,28-11-2023 19:04,SHP-004,SUP-09,Retail PoS
OR-11366,CUST-15256,13-03-2018 19:30,13-03-2018 19:40,13-03-2018 19:54,13-03-2018 20:09,SHP-004,SUP-10,Retail PoS
OR-11372,CUST-13483,08-01-2022 10:19,16-01-2022 07:11,02-02-2022 14:36,18-02-2022 05:14,SHP-003,SUP-02,Online
OR-11374,CUST-11669,13-01-2021 23:10,18-01-2021 04:13,06-02-2021 02:27,25-01-2021 22:45,SHP-003,SUP-07,Online
OR-11376,CUST-12469,13-04-2022 08:24,23-04-2022 19:58,24-04-2022 11:07,24-04-2022 07:27,SHP-002,SUP-07,Online
OR-11380,CUST-05732,28-04-2015 17:06,28-04-2015 17:14,28-04-2015 17:29,28-04-2015 17:34,SHP-004,SUP-06,Retail PoS
OR-11384,CUST-09317,30-06-2021 15:37,30-06-2021 15:44,30-06-2021 16:01,30-06-2021 16:11,SHP-004,SUP-09,Retail PoS
OR-11399,CUST-12287,14-07-2008 04:37,14-07-2008 04:45,14-07-2008 05:04,14-07-2008 04:52,SHP-004,SUP-01,Retail PoS
OR-11403,CUST-10337,17-12-2021 08:14,27-12-2021 19:30,28-12-2021 17:01,28-12-2021 16:13,SHP-002,SUP-07,Online
OR-11405,CUST-16161,10-10-2019 14:00,10-10-2019 14:07,10-10-2019 14:27,10-10-2019 14:25,SHP-004,SUP-08,Retail PoS
