campaign_id,product_id,channel_id,budget,end_date,start_date,campaign_type
210,OFF-LA-10004853,5,10266.00,2017-12-10,2017-08-13,Flash Sale
808,OFF-LA-10004853,6,11380.00,2017-12-28,2017-02-06,Flash Sale
629,OFF-SU-10000646,5,17567.00,2018-04-01,2017-07-20,Retargeting
819,OFF-SU-10000646,1,8004.00,2018-04-26,2017-11-17,Retargeting
208,OFF-BI-10004233,2,55125.00,2018-07-01,2017-10-17,Brand Awareness
230,FUR-FU-10000723,2,32871.00,2018-06-29,2017-09-27,Brand Awareness
1128,FUR-FU-10000723,5,28032.00,2018-06-27,2018-04-27,Seasonal Sale
219,OFF-LA-10003190,7,51105.00,2017-10-30,2017-02-22,Brand Awareness
522,TEC-AC-10001109,6,13147.00,2017-12-04,2017-10-04,First-Time Buyer Campaign
845,OFF-FA-10003485,2,9162.00,2017-11-29,2017-01-08,Discount
685,FUR-CH-10000225,1,16784.00,2017-11-28,2017-03-28,Discount
1535,FUR-CH-10000225,1,10966.00,2018-01-03,2017-10-10,First-Time Buyer Campaign
407,FUR-FU-10003347,5,11123.00,2017-12-04,2017-06-27,Retargeting
1505,OFF-AR-10002053,5,8355.00,2017-12-06,2017-07-23,Loyalty Campaign
800,TEC-PH-10004100,1,23377.00,2017-12-06,2016-12-29,Conversion Campaign
1557,TEC-PH-10004100,5,42198.00,2017-12-20,2016-12-29,Brand Awareness
727,OFF-FA-10000992,2,20480.00,2017-08-26,2017-06-01,Engagement Campaign
135,OFF-AR-10000390,3,24888.00,2017-09-19,2016-10-10,Engagement Campaign
1351,OFF-AR-10000390,5,11337.00,2017-08-26,2017-02-04,First-Time Buyer Campaign
165,FUR-FU-10001424,7,32610.00,2017-08-22,2016-12-15,Seasonal Sale
1443,OFF-FA-10001332,1,51328.00,2017-08-27,2017-07-17,Brand Awareness
873,FUR-FU-10003664,2,15421.00,2017-03-11,2016-03-09,Retargeting
900,OFF-FA-10003059,7,27262.00,2018-09-09,2018-06-27,Brand Awareness
294,TEC-MA-10000822,5,15488.00,2018-05-24,2017-10-30,Win-Back Campaign
1375,OFF-BI-10003719,3,16800.00,2018-06-02,2018-01-31,Conversion Campaign
835,OFF-BI-10001670,7,6515.00,2018-06-18,2017-09-10,Win-Back Campaign
1036,OFF-AR-10001427,6,15028.00,2017-10-28,2017-01-24,Seasonal Sale
797,FUR-TA-10004607,4,7866.00,2017-11-28,2016-11-23,Retargeting
1531,TEC-PH-10004977,6,17663.00,2017-08-27,2016-08-15,Seasonal Sale
200,FUR-FU-10000550,3,10338.00,2017-06-14,2016-11-08,Retargeting
589,FUR-FU-10000550,2,20474.00,2017-06-28,2016-07-26,Conversion Campaign
984,FUR-FU-10000550,3,9618.00,2017-07-03,2016-11-17,Win-Back Campaign
858,FUR-FU-10001468,3,11007.00,2018-05-17,2018-02-09,Retargeting
1499,FUR-FU-10001468,3,15449.00,2018-05-06,2017-04-24,Discount
853,OFF-AR-10000940,3,13011.00,2018-06-02,2017-09-05,Conversion Campaign
1048,OFF-PA-10001800,1,11604.00,2018-07-21,2017-06-22,First-Time Buyer Campaign
287,OFF-PA-10004101,3,24480.00,2017-10-14,2017-01-24,Conversion Campaign
1294,OFF-PA-10004101,3,6836.00,2017-11-06,2017-07-23,First-Time Buyer Campaign
128,OFF-EN-10001415,5,26602.00,2017-07-19,2017-01-02,Product Launch
673,OFF-EN-10001415,7,33663.00,2017-07-19,2016-08-12,Brand Awareness
343,OFF-BI-10003718,1,13303.00,2017-12-20,2017-06-17,First-Time Buyer Campaign
732,OFF-BI-10003718,7,5714.00,2017-12-27,2016-12-08,Loyalty Campaign
778,OFF-BI-10003718,5,14188.00,2017-12-19,2017-07-11,Win-Back Campaign
133,OFF-ST-10002301,4,48765.00,2018-08-03,2017-10-12,Brand Awareness
1117,OFF-ST-10002301,4,14966.00,2018-08-28,2018-02-01,Loyalty Campaign
562,FUR-BO-10004834,4,28157.00,2018-08-05,2017-10-03,Conversion Campaign
1081,OFF-BI-10004410,4,40723.00,2018-03-15,2018-01-20,Brand Awareness
1194,OFF-BI-10004410,4,39006.00,2018-03-03,2017-10-25,Product Launch
596,OFF-LA-10003510,3,10642.00,2018-03-09,2017-12-02,Discount
1510,OFF-LA-10003510,6,44720.00,2018-04-03,2017-11-04,Brand Awareness
1241,OFF-BI-10004593,3,33417.00,2018-02-27,2017-12-13,Brand Awareness
1497,OFF-BI-10004593,2,47990.00,2018-03-09,2017-09-16,Brand Awareness
371,OFF-ST-10001490,2,13285.00,2018-01-25,2017-07-17,Engagement Campaign
997,OFF-ST-10001490,7,23209.00,2018-02-12,2017-08-14,Engagement Campaign
749,OFF-BI-10002215,6,45456.00,2018-02-23,2017-07-14,Brand Awareness
878,OFF-BI-10002215,7,42387.00,2018-02-01,2017-02-10,Product Launch
712,FUR-CH-10001146,7,14175.00,2018-02-25,2017-05-10,Discount
982,FUR-CH-10001146,2,39008.00,2018-02-25,2017-09-02,Brand Awareness
1275,OFF-AR-10001860,5,52158.00,2017-11-01,2017-09-25,Brand Awareness
196,OFF-PA-10003657,3,10223.00,2018-09-03,2018-07-05,Flash Sale
204,OFF-BI-10002393,7,12020.00,2018-09-17,2017-09-02,Retargeting
420,OFF-BI-10002393,3,8827.00,2018-09-17,2017-10-02,Loyalty Campaign
1553,OFF-ST-10000689,3,16439.00,2017-05-28,2017-01-02,First-Time Buyer Campaign
452,FUR-CH-10002961,3,8348.00,2017-05-29,2016-11-26,Retargeting
358,FUR-FU-10004665,1,9875.00,2017-05-18,2016-07-29,First-Time Buyer Campaign
985,TEC-PH-10003555,7,6396.00,2018-03-24,2017-09-14,Win-Back Campaign
1080,TEC-PH-10003555,7,37919.00,2018-03-22,2017-09-13,Seasonal Sale
514,OFF-LA-10004484,6,6284.00,2018-03-31,2017-07-17,Win-Back Campaign
167,FUR-CH-10004626,3,6841.00,2018-03-23,2017-03-14,First-Time Buyer Campaign
439,TEC-AC-10004396,2,8803.00,2018-05-18,2018-04-15,Flash Sale
403,OFF-FA-10000490,1,37328.00,2018-03-08,2017-11-06,Brand Awareness
828,FUR-TA-10001676,3,8149.00,2018-08-27,2018-04-26,Discount
1136,OFF-AP-10002734,6,14833.00,2018-04-23,2017-05-04,Loyalty Campaign
1195,OFF-AP-10002734,3,9190.00,2018-04-27,2017-06-10,Flash Sale
1522,OFF-AP-10002734,6,20361.00,2018-04-21,2017-08-22,Engagement Campaign
794,OFF-LA-10001404,1,10137.00,2018-04-07,2017-04-08,Engagement Campaign
101,OFF-BI-10002949,2,34990.00,2018-04-30,2017-07-25,Product Launch
1103,TEC-AC-10003280,3,48099.00,2018-04-20,2017-09-28,Product Launch
571,OFF-PA-10000007,7,24987.00,2018-05-13,2017-12-17,Conversion Campaign
1307,OFF-PA-10000007,6,11268.00,2018-04-28,2017-11-24,Engagement Campaign
1520,OFF-PA-10000007,1,15497.00,2018-05-17,2017-10-05,Win-Back Campaign
323,FUR-CH-10004983,3,13054.00,2018-05-24,2017-06-30,Win-Back Campaign
1558,FUR-CH-10004983,3,49054.00,2018-05-10,2017-12-27,Product Launch
237,TEC-PH-10002890,7,16151.00,2018-04-13,2017-09-09,Discount
1561,TEC-PH-10002890,2,16346.00,2018-04-07,2017-09-21,First-Time Buyer Campaign
411,FUR-FU-10000448,5,16175.00,2018-09-02,2018-01-22,Retargeting
882,FUR-FU-10000448,1,9962.00,2018-08-16,2017-11-10,Flash Sale
1139,OFF-LA-10003923,7,6197.00,2018-09-19,2018-03-21,Win-Back Campaign
825,OFF-AR-10003759,7,57281.00,2017-12-20,2017-05-17,Brand Awareness
126,TEC-PH-10001809,2,37736.00,2018-05-16,2017-07-02,Brand Awareness
181,OFF-ST-10000798,3,31368.00,2017-09-17,2017-06-19,Product Launch
565,OFF-ST-10000798,6,31754.00,2017-10-01,2017-08-02,Product Launch
266,OFF-SU-10000381,4,13901.00,2017-10-21,2017-05-29,Flash Sale
413,TEC-AC-10002345,5,40898.00,2017-11-24,2017-08-27,Brand Awareness
467,TEC-AC-10002345,6,28111.00,2017-11-27,2017-05-25,Conversion Campaign
1292,TEC-AC-10002345,4,9978.00,2017-11-17,2017-09-07,Win-Back Campaign
1005,OFF-AP-10002684,6,15089.00,2017-11-11,2017-06-05,Win-Back Campaign
242,OFF-BI-10001525,7,10430.00,2017-07-22,2016-11-10,Flash Sale
803,OFF-LA-10003720,6,27630.00,2018-09-01,2018-04-10,Conversion Campaign
1191,OFF-PA-10000019,5,14896.00,2017-09-14,2017-03-28,Loyalty Campaign
1316,OFF-AR-10000914,4,5938.00,2017-07-07,2017-05-15,Loyalty Campaign
776,FUR-FU-10001215,7,23519.00,2018-02-18,2017-04-25,Engagement Campaign
913,FUR-FU-10001215,7,18296.00,2018-02-10,2017-02-15,Conversion Campaign
958,OFF-ST-10002756,6,58386.00,2018-03-05,2017-08-17,Brand Awareness
1458,OFF-ST-10002756,5,16739.00,2018-03-03,2017-04-01,Conversion Campaign
194,FUR-CH-10004698,2,22572.00,2018-07-13,2017-10-24,Conversion Campaign
457,FUR-CH-10004698,5,17078.00,2018-06-09,2018-04-13,Conversion Campaign
1078,FUR-CH-10004698,7,11363.00,2018-06-29,2017-09-12,Engagement Campaign
1441,OFF-AR-10003752,4,8367.00,2017-09-03,2016-12-01,Win-Back Campaign
910,OFF-PA-10001970,5,17451.00,2017-09-18,2016-12-20,Conversion Campaign
1492,OFF-PA-10001970,2,24036.00,2017-09-15,2017-04-05,Engagement Campaign
198,OFF-AP-10001492,5,10228.00,2018-03-24,2017-08-02,Win-Back Campaign
445,OFF-PA-10000061,6,11231.00,2018-05-20,2017-04-29,First-Time Buyer Campaign
684,OFF-ST-10003805,5,19316.00,2018-05-14,2017-10-19,Seasonal Sale
780,OFF-LA-10001934,1,5321.00,2018-07-15,2017-11-02,Flash Sale
1434,OFF-LA-10001934,7,13446.00,2018-08-09,2017-09-16,Retargeting
1192,FUR-BO-10003965,5,30283.00,2018-01-27,2017-04-14,Brand Awareness
1172,TEC-AC-10004469,1,8200.00,2017-12-28,2017-07-31,Retargeting
1107,FUR-TA-10002903,1,12182.00,2018-01-09,2017-04-14,Win-Back Campaign
578,OFF-PA-10001307,2,15958.00,2018-07-08,2018-04-19,First-Time Buyer Campaign
1264,OFF-BI-10003676,7,9492.00,2018-07-29,2017-08-25,Loyalty Campaign
905,OFF-BI-10004022,3,10225.00,2017-06-25,2016-12-01,Discount
1579,OFF-BI-10004022,1,35644.00,2017-05-27,2017-04-28,Seasonal Sale
247,FUR-TA-10001039,2,15550.00,2018-01-01,2017-10-22,Engagement Campaign
1431,OFF-BI-10002735,1,45796.00,2017-10-01,2017-01-20,Brand Awareness
795,OFF-BI-10002353,5,13172.00,2018-05-08,2017-05-07,Flash Sale
414,OFF-BI-10003707,6,29637.00,2018-04-04,2017-10-11,Conversion Campaign
1068,OFF-BI-10003707,7,29553.00,2018-04-27,2017-08-29,Conversion Campaign
1430,OFF-BI-10003707,7,19132.00,2018-04-08,2017-11-27,Engagement Campaign
1006,OFF-ST-10002214,1,41567.00,2018-03-31,2017-12-29,Brand Awareness
1133,OFF-ST-10002214,1,14135.00,2018-03-26,2017-04-15,First-Time Buyer Campaign
812,OFF-BI-10002072,3,16878.00,2018-09-12,2018-04-10,Discount
880,OFF-FA-10002815,1,14905.00,2018-04-20,2018-01-27,Win-Back Campaign
1503,OFF-ST-10001469,2,10892.00,2017-05-20,2017-02-17,Win-Back Campaign
274,OFF-PA-10000533,7,9913.00,2017-05-26,2016-06-21,Discount
464,OFF-PA-10000533,1,23155.00,2017-06-04,2016-06-30,Engagement Campaign
1001,OFF-PA-10000533,2,6751.00,2017-06-07,2017-03-04,Loyalty Campaign
1031,OFF-PA-10000533,1,13146.00,2017-06-08,2016-11-01,Retargeting
802,FUR-TA-10001539,1,6117.00,2017-11-13,2017-07-31,Flash Sale
834,FUR-TA-10001539,4,11328.00,2017-11-13,2017-02-25,First-Time Buyer Campaign
876,OFF-PA-10000673,7,38760.00,2017-12-24,2017-08-25,Product Launch
970,OFF-BI-10000343,5,25222.00,2018-01-16,2016-12-11,Product Launch
218,OFF-PA-10001569,2,8228.00,2018-10-01,2017-10-01,Flash Sale
1311,FUR-FU-10004748,7,24192.00,2018-04-17,2017-07-12,Seasonal Sale
1347,FUR-FU-10004748,7,17427.00,2018-05-20,2018-01-21,First-Time Buyer Campaign
633,TEC-MA-10002428,3,7443.00,2018-04-24,2017-08-13,Win-Back Campaign
1542,OFF-AR-10003373,5,7527.00,2018-09-01,2017-11-02,Win-Back Campaign
1399,OFF-AP-10004708,5,20999.00,2018-02-16,2017-11-06,Engagement Campaign
1364,TEC-PH-10000586,6,14788.00,2018-03-10,2017-09-19,Win-Back Campaign
1470,TEC-PH-10000586,2,10178.00,2018-03-15,2017-09-26,Flash Sale
1593,TEC-PH-10003885,3,12147.00,2018-06-12,2017-05-23,First-Time Buyer Campaign
1328,OFF-BI-10000014,6,13360.00,2018-06-27,2017-07-06,Win-Back Campaign
419,TEC-AC-10003628,6,11000.00,2017-07-31,2016-11-18,Engagement Campaign
602,TEC-AC-10003628,4,11549.00,2017-07-31,2016-10-29,Discount
1482,OFF-BI-10004967,7,9193.00,2018-04-29,2017-05-26,Loyalty Campaign
789,FUR-CH-10002439,2,16551.00,2018-09-16,2018-02-13,Retargeting
436,OFF-PA-10003016,6,7251.00,2018-07-06,2018-03-07,Flash Sale
1414,OFF-AR-10001897,2,7006.00,2018-07-30,2018-02-12,Loyalty Campaign
1584,OFF-BI-10002827,3,18797.00,2018-08-20,2017-09-22,Seasonal Sale
1501,TEC-AC-10002842,4,11936.00,2017-12-09,2017-05-21,Win-Back Campaign
1374,OFF-AP-10002350,6,12733.00,2018-02-13,2017-06-26,Conversion Campaign
741,OFF-BI-10001107,3,11550.00,2017-09-18,2017-03-20,Flash Sale
1337,OFF-BI-10001107,6,8497.00,2017-08-26,2017-06-28,Win-Back Campaign
1489,OFF-BI-10001107,3,26530.00,2017-09-15,2016-11-11,Brand Awareness
1322,OFF-AR-10000657,5,11836.00,2017-09-05,2016-09-16,First-Time Buyer Campaign
921,FUR-TA-10002958,4,21954.00,2017-08-20,2017-04-18,Product Launch
950,FUR-TA-10002958,5,6277.00,2017-07-23,2017-05-25,Flash Sale
952,OFF-AR-10003158,6,22457.00,2017-05-29,2017-03-10,Seasonal Sale
1156,OFF-AR-10003158,6,7032.00,2017-06-16,2016-08-19,Flash Sale
1384,FUR-FU-10000747,5,10611.00,2017-10-09,2016-10-04,First-Time Buyer Campaign
711,TEC-AC-10004568,2,14239.00,2018-05-23,2018-01-08,Retargeting
911,TEC-AC-10004568,5,30946.00,2018-04-26,2017-09-28,Seasonal Sale
338,OFF-BI-10004506,2,14955.00,2018-08-15,2017-11-15,Flash Sale
430,OFF-BI-10004506,4,33855.00,2018-08-29,2017-11-14,Seasonal Sale
1146,OFF-BI-10004506,1,48385.00,2018-08-31,2017-09-25,Product Launch
1211,OFF-BI-10004506,5,37397.00,2018-08-21,2017-11-09,Product Launch
769,OFF-PA-10004100,1,10750.00,2018-08-19,2018-03-14,Flash Sale
903,TEC-PH-10001459,6,13518.00,2017-11-30,2017-01-09,Loyalty Campaign
459,OFF-AR-10002067,6,55108.00,2017-02-14,2016-11-26,Brand Awareness
977,TEC-PH-10003273,3,13753.00,2017-03-05,2016-07-29,First-Time Buyer Campaign
760,FUR-FU-10004848,7,7751.00,2018-04-23,2018-01-16,Loyalty Campaign
993,FUR-FU-10004848,7,30558.00,2018-04-16,2018-03-11,Seasonal Sale
1382,FUR-FU-10004848,1,6784.00,2018-04-19,2017-05-01,Win-Back Campaign
270,OFF-ST-10003716,6,22700.00,2017-06-08,2017-01-02,Seasonal Sale
1240,OFF-ST-10003716,3,26315.00,2017-06-16,2017-03-17,Conversion Campaign
331,OFF-AP-10002867,1,23863.00,2017-06-07,2016-08-01,Engagement Campaign
923,OFF-AP-10002867,6,51229.00,2017-06-06,2017-03-04,Brand Awareness
813,OFF-BI-10000315,1,28828.00,2018-08-07,2018-06-01,Conversion Campaign
592,OFF-BI-10002609,6,55511.00,2018-08-27,2017-12-13,Brand Awareness
1336,OFF-BI-10002609,5,37222.00,2018-08-24,2018-07-05,Seasonal Sale
622,FUR-FU-10002963,3,11839.00,2018-06-12,2018-02-14,First-Time Buyer Campaign
600,TEC-AC-10004571,4,45097.00,2018-07-07,2017-10-02,Brand Awareness
1008,TEC-AC-10004571,7,35655.00,2018-06-12,2018-02-11,Product Launch
890,OFF-PA-10000575,1,16771.00,2017-05-28,2016-09-28,Discount
1181,OFF-PA-10000575,3,6777.00,2017-06-01,2016-05-29,First-Time Buyer Campaign
236,OFF-SU-10004884,1,37901.00,2017-06-02,2017-03-29,Product Launch
1157,OFF-SU-10004884,2,38014.00,2017-05-19,2016-05-23,Brand Awareness
1327,OFF-SU-10004884,3,48523.00,2017-06-03,2016-10-05,Product Launch
376,OFF-PA-10002659,1,20925.00,2018-01-01,2016-12-24,Seasonal Sale
736,OFF-PA-10002659,1,15310.00,2017-12-26,2016-12-23,Seasonal Sale
212,OFF-ST-10000585,6,17771.00,2017-08-29,2017-01-26,Discount
1577,OFF-ST-10000585,3,6334.00,2017-08-29,2017-05-27,Flash Sale
387,TEC-PH-10001835,2,16661.00,2018-02-22,2017-12-22,Seasonal Sale
1196,FUR-BO-10003966,3,12132.00,2018-08-18,2018-03-05,Loyalty Campaign
1429,OFF-ST-10000604,3,10207.00,2018-04-25,2018-01-08,Discount
1514,OFF-ST-10000604,5,7679.00,2018-05-20,2018-03-20,Loyalty Campaign
987,OFF-AR-10004042,1,44777.00,2018-04-29,2018-02-14,Brand Awareness
926,OFF-PA-10001815,4,9736.00,2018-04-25,2017-11-30,Discount
487,OFF-PA-10004405,3,28390.00,2018-01-16,2017-07-23,Product Launch
1590,TEC-AC-10002942,6,9452.00,2018-02-15,2017-02-23,Flash Sale
1383,OFF-AR-10001044,4,27154.00,2018-01-22,2017-07-20,Conversion Campaign
1344,OFF-AP-10001058,1,11943.00,2018-02-16,2017-12-13,First-Time Buyer Campaign
743,OFF-AP-10002311,2,17742.00,2018-03-21,2017-02-23,Discount
385,OFF-BI-10002412,3,26403.00,2017-11-02,2017-07-22,Brand Awareness
601,TEC-AC-10001432,7,5252.00,2018-03-28,2017-11-15,Loyalty Campaign
665,TEC-AC-10001432,2,39461.00,2018-03-28,2017-04-11,Seasonal Sale
1282,TEC-AC-10001432,7,12871.00,2018-04-01,2017-09-21,Win-Back Campaign
1454,TEC-AC-10001432,2,31734.00,2018-04-01,2017-11-10,Seasonal Sale
1044,OFF-EN-10003001,3,18098.00,2017-12-16,2017-10-20,Engagement Campaign
843,TEC-AC-10000736,3,33525.00,2017-09-10,2017-03-25,Brand Awareness
956,TEC-AC-10000736,7,14321.00,2017-09-30,2017-05-28,Flash Sale
1039,TEC-AC-10000736,7,17715.00,2017-09-08,2016-11-02,Discount
388,TEC-AC-10001552,5,15763.00,2018-03-19,2017-04-24,Win-Back Campaign
581,TEC-AC-10001552,1,13910.00,2018-03-27,2017-09-08,Loyalty Campaign
213,OFF-AR-10002445,7,11578.00,2018-03-25,2017-03-17,Discount
1138,OFF-AR-10002445,1,49648.00,2018-03-23,2017-12-17,Brand Awareness
332,OFF-BI-10000145,2,37404.00,2018-08-31,2018-01-06,Product Launch
426,FUR-CH-10003817,1,17248.00,2017-09-13,2016-10-11,Retargeting
548,TEC-PH-10000376,7,39367.00,2017-09-05,2017-07-25,Brand Awareness
1237,TEC-PH-10000376,2,5090.00,2017-10-06,2017-02-23,Loyalty Campaign
232,OFF-BI-10002931,6,8497.00,2017-09-16,2016-11-14,Discount
490,OFF-BI-10002931,6,32924.00,2017-09-06,2017-03-13,Product Launch
750,OFF-BI-10002931,7,11191.00,2017-10-10,2017-07-03,Discount
831,TEC-MA-10001148,1,14648.00,2017-09-03,2017-03-27,Discount
639,TEC-PH-10004120,7,13084.00,2018-07-10,2018-01-03,Retargeting
1266,TEC-PH-10004120,7,42610.00,2018-06-14,2017-10-29,Product Launch
175,OFF-AR-10003190,1,14093.00,2018-07-01,2017-07-01,First-Time Buyer Campaign
751,OFF-ST-10002790,4,21214.00,2018-07-18,2018-04-05,Conversion Campaign
1254,OFF-ST-10002790,5,5267.00,2018-07-15,2017-12-05,Loyalty Campaign
312,OFF-PA-10003797,5,14805.00,2018-04-21,2017-09-29,Retargeting
859,OFF-PA-10003797,6,11458.00,2018-04-18,2017-08-01,Retargeting
205,FUR-CH-10004754,3,40881.00,2018-04-06,2017-07-25,Brand Awareness
1179,FUR-CH-10004754,2,12351.00,2018-04-22,2017-06-24,Retargeting
1371,FUR-CH-10004754,7,38600.00,2018-05-01,2018-02-22,Brand Awareness
1521,FUR-CH-10004754,3,7305.00,2018-04-04,2017-10-14,Flash Sale
1310,FUR-TA-10004152,4,6915.00,2017-10-30,2017-05-29,First-Time Buyer Campaign
399,OFF-PA-10004359,2,18897.00,2018-06-04,2018-03-05,Conversion Campaign
1517,OFF-PA-10004359,1,13042.00,2018-05-09,2018-01-18,Flash Sale
225,TEC-AC-10000171,6,39435.00,2018-07-22,2018-03-07,Seasonal Sale
642,TEC-AC-10000171,5,10130.00,2018-07-12,2017-10-17,Engagement Campaign
1155,TEC-AC-10000171,4,8455.00,2018-07-06,2018-04-19,Retargeting
1487,TEC-AC-10000171,7,11728.00,2018-07-07,2017-08-07,Win-Back Campaign
437,OFF-FA-10000735,2,5695.00,2017-04-28,2017-02-18,Flash Sale
207,OFF-AP-10002518,7,34267.00,2018-03-07,2017-07-17,Seasonal Sale
308,OFF-AP-10002518,4,9894.00,2018-03-04,2017-03-31,Discount
381,OFF-AP-10002518,5,5104.00,2018-02-22,2017-03-29,Loyalty Campaign
693,OFF-AP-10002518,5,27298.00,2018-02-26,2017-11-13,Product Launch
1227,OFF-AP-10002518,6,7883.00,2018-02-26,2017-06-06,Win-Back Campaign
1439,OFF-AP-10002518,7,28870.00,2018-02-19,2017-03-06,Conversion Campaign
1538,OFF-AP-10002518,3,24699.00,2018-03-12,2017-07-11,Conversion Campaign
1137,FUR-BO-10002853,7,9204.00,2018-06-20,2018-03-03,Retargeting
249,OFF-BI-10002557,4,15615.00,2018-02-01,2017-08-24,Retargeting
647,TEC-PH-10000984,7,15042.00,2018-01-21,2017-06-04,Win-Back Campaign
908,TEC-PH-10000984,7,21886.00,2018-02-08,2017-05-26,Engagement Campaign
659,OFF-SU-10004498,1,27340.00,2017-05-17,2016-11-30,Product Launch
796,OFF-SU-10004498,5,7168.00,2017-05-14,2016-12-10,Flash Sale
351,TEC-PH-10002185,4,11827.00,2018-02-02,2017-09-07,Loyalty Campaign
187,FUR-CH-10004289,3,10427.00,2018-04-09,2017-07-06,Engagement Campaign
1491,OFF-PA-10002377,1,6579.00,2018-04-04,2017-06-01,Flash Sale
368,FUR-TA-10002774,6,15011.00,2018-06-26,2017-08-28,Engagement Campaign
999,FUR-TA-10002774,5,11919.00,2018-06-03,2018-03-25,Loyalty Campaign
374,OFF-AR-10001545,4,5556.00,2018-06-24,2017-09-23,Loyalty Campaign
1011,OFF-AR-10001545,2,36708.00,2018-06-08,2017-08-09,Brand Awareness
1111,OFF-AR-10001545,7,10714.00,2018-06-28,2018-02-24,Flash Sale
1413,OFF-AR-10001545,1,7901.00,2018-06-29,2017-08-19,First-Time Buyer Campaign
889,OFF-PA-10002365,3,14838.00,2017-11-10,2017-01-04,Flash Sale
1323,OFF-ST-10001325,2,58762.00,2017-10-10,2016-12-13,Brand Awareness
627,OFF-EN-10003055,5,41108.00,2017-11-12,2017-03-22,Brand Awareness
885,FUR-FU-10002685,2,26242.00,2018-01-10,2017-11-10,Product Launch
1286,FUR-CH-10002372,1,16369.00,2018-01-09,2017-01-05,Retargeting
1203,OFF-BI-10002794,1,22317.00,2018-05-11,2017-08-08,Conversion Campaign
955,FUR-CH-10002647,5,14087.00,2017-08-01,2016-09-29,First-Time Buyer Campaign
1506,FUR-CH-10002647,5,14788.00,2017-07-08,2017-05-24,Conversion Campaign
269,FUR-FU-10003731,1,6591.00,2018-09-18,2018-07-01,Win-Back Campaign
