metric_id,campaign_id,impressions,clicks,conversions,bounces,metric_date
47,105,23837,1651,627,155,2016-10-18
48,105,6060,510,426,371,2016-10-20
49,105,20319,501,320,81,2016-10-11
50,105,11184,712,485,4,2016-10-16
51,105,17874,1392,1165,111,2016-10-19
52,105,20216,2292,991,2201,2016-10-13
53,105,24716,1027,60,670,2016-11-08
54,105,11149,432,62,416,2016-10-25
55,105,20467,575,444,557,2016-10-29
56,105,9879,736,406,420,2016-10-21
57,105,3117,252,95,158,2016-10-28
58,105,6319,559,269,302,2016-11-01
59,106,7141,830,812,144,2017-02-01
60,106,24977,1224,20,853,2017-01-28
61,106,17748,1251,479,539,2017-02-04
62,106,10847,1182,990,10,2017-01-29
63,106,15044,1136,975,529,2017-01-31
64,106,23663,536,532,534,2017-02-03
65,106,11315,631,494,23,2017-02-02
66,106,5046,272,22,14,2017-01-27
67,106,11078,597,274,4,2017-01-26
68,106,21356,1552,508,1545,2017-01-30
69,107,9512,242,86,207,2017-09-08
70,107,12739,297,186,97,2017-09-14
71,107,6548,366,184,109,2017-09-09
72,107,3349,152,131,87,2017-09-15
73,107,15109,1582,742,686,2017-09-10
74,107,10816,1008,287,78,2017-09-12
75,107,21375,1365,216,1028,2017-09-13
76,107,21077,606,517,117,2017-09-11
77,108,8161,739,650,0,2016-05-30
78,108,16213,1277,272,829,2016-05-17
79,108,5431,262,156,241,2016-05-15
80,108,18787,1867,1317,1709,2016-05-28
81,108,23281,1730,1236,1342,2016-06-06
82,108,8037,803,704,208,2016-05-20
83,109,3040,99,16,46,2016-03-20
84,109,4962,289,158,37,2016-03-17
85,109,8706,1042,316,88,2016-04-04
86,109,14038,1461,929,1193,2016-03-11
87,109,24163,977,485,756,2016-03-16
88,109,21869,667,535,404,2016-03-29
89,109,14709,510,326,183,2016-04-05
90,109,4697,554,352,228,2016-04-07
91,109,21432,1807,1024,1652,2016-03-31
92,109,9607,700,611,399,2016-04-01
93,109,15230,304,247,147,2016-03-24
94,109,20169,2341,754,1325,2016-03-21
95,109,5466,411,405,220,2016-03-13
96,109,4994,179,46,4,2016-04-06
97,110,20083,2016,1910,277,2017-11-29
98,110,21244,676,269,598,2017-12-23
99,110,3852,269,108,219,2017-11-24
100,110,19114,1887,778,19,2017-12-22
101,110,18220,847,306,257,2017-12-17
102,110,13454,984,88,589,2017-12-20
103,110,24847,2554,1408,1284,2017-12-04
104,110,14782,532,116,160,2017-11-13
105,110,5245,481,239,481,2017-11-23
106,110,18509,469,88,160,2017-11-14
107,110,20488,790,517,113,2017-12-08
108,111,10279,1032,329,918,2017-11-08
109,111,22285,1397,660,296,2017-11-12
110,111,11062,864,271,820,2017-10-26
111,111,21011,1498,1188,719,2017-10-12
112,111,11436,801,607,228,2017-11-10
113,111,23173,2547,1947,1622,2017-11-07
114,111,24463,2840,1465,246,2017-10-19
115,111,10921,581,361,451,2017-11-21
116,111,7218,860,779,823,2017-10-29
117,111,7787,667,147,219,2017-11-17
118,111,5537,660,459,374,2017-11-20
119,111,9795,443,417,78,2017-10-20
120,111,22322,1680,1332,194,2017-10-24
121,112,16063,1419,123,595,2017-07-17
122,112,10774,252,238,213,2017-07-15
123,112,11459,700,477,537,2017-07-19
124,112,13744,335,39,20,2017-07-23
125,112,18849,1145,1057,980,2017-07-28
126,113,4906,340,48,38,2017-12-23
127,113,7817,468,270,419,2017-12-16
128,113,18653,1689,1440,375,2018-01-05
129,113,14370,995,563,767,2017-12-21
130,113,6737,625,31,609,2017-12-29
131,113,3515,386,215,253,2018-01-09
132,113,10992,870,232,511,2017-12-19
133,113,9820,361,137,308,2018-01-07
134,113,14917,510,183,436,2018-01-06
135,113,6794,135,51,83,2018-01-14
136,114,3615,117,99,67,2017-02-20
137,114,15551,354,339,174,2017-03-01
138,114,17522,769,625,582,2017-02-19
139,114,20456,1762,1359,1154,2017-02-21
140,114,12116,1432,1049,801,2017-02-27
141,114,13914,829,400,621,2017-02-25
142,114,9566,803,549,717,2017-02-28
143,114,15363,1557,1122,21,2017-02-18
144,114,5107,125,55,111,2017-02-23
145,114,10524,1174,797,82,2017-02-24
146,114,11649,946,271,37,2017-02-22
147,114,22366,2549,1456,496,2017-02-26
148,115,23743,1712,544,311,2016-07-01
149,115,12840,624,535,472,2016-07-29
150,115,13616,949,598,762,2016-07-04
151,115,23042,1638,43,1622,2016-07-02
152,115,12510,370,176,298,2016-07-30
153,115,9778,866,633,498,2016-07-27
154,115,3505,395,358,340,2016-07-31
155,115,16109,726,379,484,2016-07-15
156,115,24023,2083,1059,129,2016-07-24
157,115,24079,1514,356,567,2016-07-07
158,116,7990,653,291,45,2017-02-02
159,116,11502,637,220,211,2017-02-07
160,116,7768,697,359,253,2017-02-12
161,116,14527,660,593,553,2017-02-18
162,116,10007,1124,122,198,2017-02-03
163,116,24989,509,468,22,2017-02-11
164,116,9774,395,249,288,2017-02-16
165,116,6687,787,265,447,2017-02-09
166,117,13868,597,341,593,2016-11-02
167,117,13812,610,384,543,2016-10-24
168,117,5179,373,123,299,2016-11-07
169,117,18650,666,136,521,2016-10-20
170,117,5538,351,186,0,2016-11-06
171,117,19310,417,175,269,2016-10-18
172,117,10690,737,62,120,2016-10-21
173,117,10967,407,216,129,2016-10-27
174,117,23838,1190,218,101,2016-11-10
175,117,15957,796,95,212,2016-11-12
176,117,18763,2142,1014,1104,2016-10-28
177,117,16559,1211,34,37,2016-10-30
178,117,18617,1198,129,20,2016-11-08
179,117,6395,447,45,100,2016-10-22
180,118,16774,1161,1041,283,2016-05-06
181,118,12014,1146,887,913,2016-04-30
182,118,17170,805,526,657,2016-05-01
183,118,5366,467,69,9,2016-05-07
184,118,20601,753,708,313,2016-05-03
185,118,12263,1427,871,738,2016-05-09
186,118,6762,697,696,127,2016-05-05
187,118,17103,1855,361,1769,2016-05-02
188,119,21611,2528,582,1274,2016-06-19
189,119,21838,456,43,242,2016-07-01
190,119,7070,823,383,157,2016-07-08
191,119,22561,1480,1401,1192,2016-06-17
192,119,8914,248,202,177,2016-06-25
193,119,23243,919,120,684,2016-06-26
194,119,20630,2436,1157,265,2016-06-22
195,119,6220,471,459,215,2016-06-01
196,119,6260,325,16,263,2016-06-18
197,119,15485,1258,1089,203,2016-06-20
198,119,22424,2636,685,1973,2016-06-29
199,119,23716,1284,454,1007,2016-07-04
200,119,19552,985,750,745,2016-06-30
201,119,8033,617,340,136,2016-07-02
202,120,22744,686,659,316,2017-02-05
203,120,23795,2029,1861,1282,2017-02-16
204,120,8794,646,114,639,2017-02-19
205,120,21509,2029,301,458,2017-02-03
206,120,7521,429,302,400,2017-02-01
207,120,11105,1200,210,1037,2017-02-11
208,120,19046,1153,993,1007,2017-02-15
209,120,15467,1597,1087,773,2017-02-10
210,120,9817,508,469,378,2017-02-04
211,120,22414,1610,933,589,2017-02-20
212,120,6643,695,610,252,2017-02-12
213,120,24579,1686,532,1201,2017-02-18
214,120,17505,1820,1666,588,2017-01-31
215,121,7960,522,123,404,2016-06-12
216,121,23806,2291,328,2204,2016-06-18
217,121,7120,684,311,436,2016-06-27
218,121,7761,578,17,517,2016-06-13
219,121,23220,765,312,84,2016-06-10
220,121,24331,1881,1013,749,2016-06-17
221,121,16430,1005,505,461,2016-06-08
222,121,17846,1536,76,87,2016-06-09
223,121,22207,1084,375,304,2016-06-23
224,121,18417,1786,1586,637,2016-06-11
225,121,12475,303,273,73,2016-06-07
226,121,3617,88,8,84,2016-06-21
227,122,10948,913,174,780,2016-02-12
228,122,19059,1168,34,1006,2016-01-28
229,122,18245,1312,737,733,2016-01-24
230,122,6502,150,56,11,2016-02-17
231,122,12896,905,855,470,2016-02-05
232,122,8978,946,177,522,2016-02-01
233,122,5327,124,79,78,2016-02-20
234,122,21276,1330,946,155,2016-02-07
235,123,22671,2299,1172,2174,2017-06-14
236,123,23361,1475,19,29,2017-06-26
237,123,10504,833,314,156,2017-06-21
238,123,18212,392,238,360,2017-07-13
239,123,14382,1297,742,450,2017-06-10
240,123,19292,593,245,325,2017-06-17
241,123,20089,2357,89,611,2017-06-04
242,123,21226,1281,1232,855,2017-06-19
243,123,24648,1002,862,995,2017-06-29
244,123,16080,1857,1080,1590,2017-06-08
245,123,6740,629,59,402,2017-07-06
246,123,5704,459,381,20,2017-06-09
247,123,14894,1444,1161,476,2017-07-08
248,123,16611,1201,218,19,2017-06-18
249,124,23200,2587,1986,370,2016-01-20
250,124,16042,439,307,435,2016-02-02
251,124,6703,509,167,279,2016-02-01
252,124,19490,1596,962,1213,2016-01-19
253,124,3150,231,183,40,2016-01-13
254,124,11267,838,342,159,2016-02-12
255,124,15897,1611,963,1568,2016-01-07
256,124,22857,499,397,46,2016-01-27
257,124,9541,649,512,75,2016-02-13
258,124,9331,645,450,629,2016-01-11
259,124,16307,589,163,215,2016-01-23
260,124,16483,1822,1550,764,2016-01-17
261,124,19172,2135,289,2059,2016-01-18
262,124,20875,469,435,94,2016-01-21
263,125,22467,1235,396,413,2017-06-02
264,125,20185,2022,248,1935,2017-06-03
265,125,3207,355,141,194,2017-06-06
266,125,18310,2160,829,2065,2017-06-04
267,125,15667,906,190,877,2017-06-11
268,125,24114,1371,1233,740,2017-06-08
269,125,14800,1044,609,1005,2017-06-19
270,125,22372,1219,500,948,2017-06-16
271,125,14422,1540,1234,716,2017-06-05
272,125,24264,1307,930,536,2017-06-18
273,125,8155,494,300,39,2017-06-17
274,126,21667,2264,1600,1713,2016-03-14
275,126,16274,1088,720,193,2016-03-07
276,126,15615,1695,1252,651,2016-03-22
277,126,5691,164,115,47,2016-03-05
278,126,3601,216,87,126,2016-03-15
279,126,19443,876,150,10,2016-03-20
280,126,20395,2373,869,770,2016-03-12
281,126,17343,878,540,558,2016-03-16
282,127,18845,1370,118,984,2016-11-18
283,127,15121,1635,280,102,2016-12-02
284,127,15389,1085,338,1063,2016-11-21
285,127,17244,716,222,290,2016-11-25
286,127,13920,755,440,471,2016-11-11
287,127,8494,971,684,439,2016-11-29
288,128,3354,76,35,53,2016-05-24
289,128,20686,789,695,424,2016-05-20
290,128,4954,172,18,53,2016-06-02
291,128,14128,638,620,461,2016-05-28
292,128,17468,1851,454,1133,2016-06-01
293,128,24876,1575,596,1427,2016-05-22
294,128,6997,276,93,6,2016-05-30
295,128,17088,1448,1130,990,2016-06-07
296,128,24648,1864,253,361,2016-06-04
297,128,20114,888,495,97,2016-05-19
298,128,22514,813,351,345,2016-06-08
299,128,10366,474,136,262,2016-05-16
300,128,23230,2100,533,651,2016-05-21
301,128,12263,1453,849,56,2016-05-29
302,128,20244,1065,994,650,2016-05-23
303,129,4099,482,180,312,2017-12-03
304,129,8836,795,450,199,2017-12-12
305,129,13077,1065,528,1050,2017-11-24
306,129,6795,632,226,502,2017-12-07
307,129,19481,480,114,259,2017-12-22
308,129,23615,2757,2377,2389,2018-01-02
309,130,6629,693,598,654,2017-07-08
310,130,4632,359,111,76,2017-07-07
311,130,7951,199,141,34,2017-07-06
312,130,21032,977,755,461,2017-06-30
313,130,8967,419,414,76,2017-06-03
314,130,18774,474,293,423,2017-06-27
315,130,3245,207,32,181,2017-06-02
316,130,12243,858,563,358,2017-07-03
317,130,9303,1033,72,316,2017-06-28
318,130,19370,484,428,443,2017-06-07
319,130,7005,638,172,522,2017-06-12
320,130,10524,695,491,543,2017-07-02
321,130,19359,447,386,11,2017-06-16
322,131,18076,1890,866,356,2017-04-20
323,131,15214,1774,967,1509,2017-05-12
324,131,22960,1426,1284,1159,2017-05-13
325,131,19772,1502,822,596,2017-05-08
326,131,14087,1271,962,1101,2017-05-07
327,131,18577,1291,146,969,2017-05-02
328,131,20580,1605,221,440,2017-05-06
329,131,19758,979,834,521,2017-04-27
330,131,24481,2846,2508,1876,2017-04-17
331,131,10773,366,6,349,2017-05-05
332,131,12117,604,425,5,2017-04-22
333,131,4244,394,311,275,2017-05-11
334,131,24534,1272,886,396,2017-04-13
335,131,4680,227,220,28,2017-05-18
336,131,13738,1083,785,980,2017-04-29
337,132,6713,591,192,137,2017-11-25
338,132,5689,307,53,175,2017-12-15
339,132,14963,1561,811,1304,2018-01-02
340,132,18961,1229,933,467,2017-11-20
341,132,3387,149,83,141,2017-11-19
342,132,12559,969,499,27,2017-12-12
343,132,15093,1660,1495,13,2017-12-07
344,132,4356,416,161,128,2017-12-30
345,132,8714,530,351,81,2017-12-03
346,132,19122,509,358,160,2017-12-09
347,132,15299,350,167,303,2017-12-08
348,132,15926,866,284,348,2017-12-19
349,133,12787,1429,395,43,2017-12-18
350,133,10579,512,470,498,2017-12-22
351,133,19663,851,574,142,2017-12-23
352,133,6292,284,45,99,2017-12-16
353,133,21966,1993,137,1464,2017-12-17
354,133,17905,408,363,184,2017-12-24
355,133,7375,593,586,509,2017-12-19
356,133,8144,542,10,482,2017-12-14
357,133,11543,985,310,482,2017-12-21
358,133,21077,1268,271,1219,2017-12-15
359,133,24417,2454,1613,1611,2017-12-20
360,134,22229,657,329,56,2016-11-03
361,134,15902,680,460,66,2016-11-06
362,134,8542,945,433,92,2016-11-20
363,134,19343,1451,1090,964,2016-11-26
364,134,12097,264,79,103,2016-11-24
365,134,13625,1228,825,463,2016-11-27
366,134,18511,1952,1387,387,2016-12-03
367,134,8642,728,552,269,2016-11-12
368,135,5265,567,512,523,2017-03-12
369,135,11786,755,328,196,2017-03-11
370,135,14212,837,693,76,2017-03-22
371,135,17620,1075,370,975,2017-03-18
372,135,15165,542,262,225,2017-03-27
373,135,9652,783,575,239,2017-03-10
374,136,20843,640,140,619,2017-08-11
375,136,15363,1625,324,1449,2017-08-16
376,136,23716,2389,569,1481,2017-08-24
377,136,15219,930,879,718,2017-08-23
378,136,20945,1831,509,1502,2017-08-18
379,136,16674,1477,249,23,2017-08-15
380,136,14149,1393,77,354,2017-08-20
381,136,4231,99,1,2,2017-08-30
382,136,11470,1033,878,920,2017-09-01
383,136,5141,560,87,211,2017-08-22
384,136,17082,939,14,867,2017-08-14
385,136,20073,1621,1469,1009,2017-08-12
386,136,10275,628,424,543,2017-08-21
387,136,17481,446,312,257,2017-08-13
388,136,4315,388,221,287,2017-08-31
389,137,11095,709,371,39,2016-11-15
390,137,22179,2455,208,2251,2016-11-19
391,137,13137,757,223,293,2016-11-12
392,137,14856,1682,1088,1573,2016-10-27
393,137,16156,1230,961,1120,2016-11-18
394,137,22537,1648,130,1433,2016-11-09
395,138,17700,1266,981,1205,2017-03-25
396,138,24584,1343,431,54,2017-04-04
397,138,24870,2035,647,948,2017-04-05
398,138,20748,1758,196,273,2017-04-19
399,138,8074,285,57,117,2017-03-23
400,138,10155,601,314,12,2017-03-31
401,138,21263,2531,388,1044,2017-03-22
402,138,20592,2082,1151,1761,2017-04-21
403,138,17393,1890,1498,1218,2017-04-07
404,138,15562,1117,275,723,2017-03-27
405,139,3374,288,172,281,2017-03-16
406,139,9785,233,35,108,2017-04-04
407,139,16307,1104,912,1093,2017-02-26
408,139,24050,1334,23,560,2017-02-27
409,139,17929,392,0,360,2017-03-24
410,139,6625,791,42,493,2017-04-02
411,139,17780,888,517,479,2017-02-25
412,139,13229,1464,1246,845,2017-03-30
413,140,15741,679,332,231,2016-10-30
414,140,6064,526,15,75,2016-09-29
415,140,24091,2370,238,2261,2016-10-06
416,140,7816,440,301,19,2016-09-27
417,140,24476,851,41,187,2016-10-22
418,140,18974,1239,836,403,2016-11-01
419,140,9536,438,308,434,2016-10-04
420,140,14716,1393,525,247,2016-09-28
421,140,22015,2009,862,702,2016-10-03
422,140,7072,692,494,592,2016-10-07
423,140,20805,582,539,341,2016-10-11
424,140,24063,1119,462,417,2016-09-30
425,141,4131,465,170,201,2017-06-24
426,141,5211,264,211,204,2017-06-20
427,141,3906,231,68,13,2017-05-24
428,141,18959,840,386,358,2017-06-17
429,141,21092,2256,916,1980,2017-06-01
430,141,9985,719,84,26,2017-05-31
431,141,9364,516,38,307,2017-06-23
432,141,9915,559,283,521,2017-06-11
433,141,15790,1469,329,969,2017-06-21
434,141,20437,1644,267,524,2017-05-30
435,141,9626,896,220,761,2017-06-18
436,141,17595,1798,216,398,2017-06-22
437,142,24818,2508,596,1220,2017-05-04
438,142,5572,357,103,40,2017-05-30
439,142,9335,936,78,844,2017-05-05
440,142,22353,2260,533,2065,2017-05-18
441,142,22996,844,26,666,2017-05-16
442,142,15832,1536,648,898,2017-06-03
443,142,19556,1585,345,546,2017-06-07
444,142,7724,462,332,75,2017-05-11
445,143,15064,1741,636,404,2016-08-25
446,143,18257,2097,1725,1744,2016-08-23
447,143,20302,1418,941,793,2016-08-22
448,143,15930,401,335,64,2016-08-18
449,143,16518,1516,1127,483,2016-08-20
450,143,12336,1163,719,1066,2016-08-19
451,143,4706,237,49,1,2016-08-24
452,143,17575,669,166,595,2016-08-21
453,144,10787,1087,56,364,2016-03-31
454,144,24139,2166,1938,342,2016-03-28
455,144,10843,237,80,189,2016-04-07
456,144,6023,228,118,123,2016-04-08
457,144,10243,391,97,217,2016-04-04
458,144,15824,572,571,275,2016-03-03
459,144,23293,895,748,298,2016-04-09
460,144,14545,1300,1046,1119,2016-04-01
461,144,16111,1599,863,1213,2016-04-11
462,145,4148,194,86,149,2017-12-24
463,145,13616,732,250,591,2017-12-07
464,145,23076,1494,331,1208,2017-12-23
465,145,22554,1517,249,1088,2017-12-11
466,145,20965,2404,2165,1053,2017-11-30
467,145,7591,851,86,282,2017-11-20
468,145,9686,397,163,125,2017-11-21
469,145,15781,1055,661,199,2017-12-13
470,145,18446,1706,205,362,2017-11-22
471,145,19027,2059,1703,66,2017-12-15
472,146,3498,352,226,10,2017-07-04
473,146,5856,430,287,271,2017-07-01
474,146,19066,1223,408,621,2017-06-28
475,146,7765,495,259,19,2017-07-08
476,146,21716,926,624,133,2017-07-05
477,146,17409,1555,1301,475,2017-06-29
478,146,16389,1907,621,1396,2017-07-03
479,146,22228,1719,810,1214,2017-07-06
480,146,18687,1265,953,62,2017-06-26
481,146,10906,655,7,477,2017-07-02
482,146,18802,742,639,44,2017-07-07
483,146,9216,1082,51,193,2017-06-30
484,146,3091,244,169,170,2017-06-27
485,147,9847,415,268,256,2017-11-07
486,147,22711,2207,93,2134,2017-11-06
487,147,12475,1091,401,372,2017-11-14
488,147,4489,183,173,14,2017-11-04
489,147,21962,2324,1179,1191,2017-11-19
490,147,3290,389,247,203,2017-11-05
491,147,4946,349,286,172,2017-11-13
492,147,21292,2503,2088,2251,2017-11-11
493,148,8787,855,302,672,2016-01-21
494,148,7580,799,722,658,2016-02-03
495,148,10757,763,273,711,2016-01-28
496,148,8452,340,203,145,2016-02-06
497,148,3291,368,159,204,2016-01-24
498,148,9805,719,438,287,2016-02-11
499,148,24301,724,135,90,2016-02-08
500,148,16722,1687,1671,1662,2016-02-19
501,149,17227,634,324,427,2016-12-01
502,149,10433,813,34,389,2016-11-26
503,149,15626,1150,890,586,2016-12-03
504,149,6054,594,283,584,2016-11-25
505,149,21041,2477,1721,52,2016-11-23
506,149,12493,1316,416,70,2016-12-02
507,149,14483,440,11,392,2016-12-04
508,149,8797,711,675,534,2016-11-28
509,149,7235,384,7,22,2016-11-24
510,149,19209,1451,1259,778,2016-11-19
511,149,17675,848,92,146,2016-11-29
512,150,17940,631,340,435,2017-10-19
513,150,12072,740,491,407,2017-10-29
514,150,3343,123,122,58,2017-10-23
515,150,9828,221,199,181,2017-10-17
516,150,5790,200,162,170,2017-10-20
517,150,3082,323,301,97,2017-10-21
518,150,19152,1452,1231,1346,2017-11-07
519,150,12088,775,26,748,2017-11-03
520,151,16680,1894,967,1478,2016-09-05
521,151,21241,1762,1272,1350,2016-09-14
522,151,7498,267,229,101,2016-10-01
523,151,8759,903,746,903,2016-08-24
524,151,6595,423,78,15,2016-09-04
525,151,14798,469,54,349,2016-08-26
526,151,8527,486,108,301,2016-09-01
527,152,22541,510,290,497,2016-09-13
528,152,20733,726,587,533,2016-08-18
529,152,17362,1509,1232,1173,2016-08-14
530,152,16603,868,322,394,2016-08-24
531,152,9277,310,18,142,2016-09-14
532,152,20251,2043,1194,648,2016-09-01
533,152,10191,857,753,402,2016-08-25
534,152,23237,2542,2472,1714,2016-08-23
535,152,3741,437,217,329,2016-09-12
536,152,14265,1000,238,784,2016-09-10
537,152,3408,284,6,219,2016-08-15
538,152,15819,1311,619,566,2016-08-27
539,152,6853,500,63,375,2016-09-11
540,152,18727,1617,673,1100,2016-08-21
541,152,8816,1018,432,44,2016-09-03
542,153,12093,1014,186,536,2017-08-23
543,153,12020,1429,1321,594,2017-08-13
544,153,10040,221,29,170,2017-08-17
545,153,8599,209,5,38,2017-08-19
546,153,9301,437,148,74,2017-08-28
547,154,9779,1052,602,875,2016-07-21
548,154,18054,419,106,231,2016-07-24
549,154,7943,367,25,290,2016-07-22
550,154,19652,1935,747,170,2016-07-27
551,154,21857,1731,1705,1627,2016-07-26
552,154,7976,427,102,72,2016-07-29
553,154,3666,341,337,252,2016-07-28
554,154,19187,1854,1704,1359,2016-07-25
555,154,7126,318,44,193,2016-07-23
556,155,16489,778,441,70,2016-02-18
557,155,15399,628,570,380,2016-02-03
558,155,6689,361,165,118,2016-01-31
559,155,6248,269,137,231,2016-02-01
560,155,23676,2334,1612,1702,2016-02-10
561,155,20409,1200,795,264,2016-02-17
562,155,18048,1202,46,670,2016-02-14
563,156,9630,952,86,320,2016-12-27
564,156,20551,2152,2138,69,2017-01-15
565,156,16534,1687,578,1388,2016-12-29
566,156,24542,1353,38,357,2016-12-26
567,156,10512,253,46,210,2017-01-18
568,156,20447,1426,738,689,2016-12-25
569,156,17956,916,439,617,2016-12-24
570,156,5900,226,83,161,2016-12-28
571,156,7095,705,262,95,2017-01-14
572,156,6600,541,373,189,2017-01-08
573,156,13717,1097,149,297,2016-12-31
574,156,19453,1583,1218,387,2017-01-06
575,156,8543,988,135,566,2017-01-02
576,156,17844,649,163,295,2017-01-04
577,157,23752,2448,1390,1216,2016-10-13
578,157,8454,464,17,381,2016-09-29
579,157,9573,269,110,0,2016-10-04
580,157,15758,536,126,19,2016-11-02
581,157,11136,1058,112,681,2016-10-07
582,157,3780,399,182,253,2016-10-03
583,157,3440,251,119,155,2016-10-18
584,157,24014,2410,2053,520,2016-10-06
585,157,16762,425,118,52,2016-10-24
586,157,11393,980,738,929,2016-10-22
587,158,4868,482,267,256,2016-03-27
588,158,5404,313,225,15,2016-02-20
589,158,24396,1032,24,85,2016-03-12
590,158,20358,1314,814,860,2016-03-20
591,158,9895,298,285,74,2016-03-19
592,159,23162,825,137,787,2017-10-12
593,159,23530,2643,947,2445,2017-10-08
594,159,13337,707,481,618,2017-10-14
595,159,8735,468,142,98,2017-10-11
596,159,15854,1752,677,1209,2017-10-09
597,159,7208,571,308,115,2017-10-10
598,159,13835,726,17,652,2017-10-13
599,159,3153,65,21,58,2017-10-07
600,160,9082,357,102,50,2017-04-12
601,160,23931,2617,1865,264,2017-04-04
602,160,11818,340,76,140,2017-04-02
603,160,19915,2299,551,1925,2017-04-15
604,160,7959,785,212,646,2017-04-19
605,160,4380,335,261,72,2017-04-13
606,160,19902,1343,1258,1335,2017-04-16
607,160,24432,2186,284,747,2017-04-18
608,160,18916,1964,1703,1661,2017-04-05
609,160,12186,521,117,267,2017-04-01
610,160,21018,1106,953,398,2017-04-03
611,160,13259,1206,492,402,2017-03-27
612,160,3144,317,26,105,2017-04-09
613,161,13292,1267,204,45,2017-02-09
614,161,20789,772,130,58,2017-02-05
615,161,11351,992,232,795,2017-01-19
616,161,22061,2138,371,129,2017-01-20
617,161,10020,621,316,506,2017-02-04
618,161,4398,247,177,41,2017-02-08
619,161,5893,370,197,24,2017-02-12
620,161,3978,350,218,279,2017-02-07
621,161,12450,840,777,660,2017-02-03
622,162,20177,2180,1248,411,2016-08-09
623,162,6260,278,173,230,2016-07-25
624,162,23090,2616,1752,894,2016-08-07
625,162,21314,656,208,24,2016-08-10
626,162,19780,859,517,698,2016-07-24
627,162,14732,1736,310,206,2016-07-19
628,162,23764,2752,1428,174,2016-08-12
629,162,23047,694,17,438,2016-07-18
630,162,18282,1801,572,675,2016-07-27
631,162,9115,679,158,35,2016-08-20
632,162,6831,530,228,258,2016-08-03
633,162,17678,1396,594,613,2016-08-11
634,163,4157,285,191,152,2017-06-11
635,163,17658,1692,636,1674,2017-06-24
636,163,11769,470,241,326,2017-06-17
637,163,11142,246,139,227,2017-06-20
638,163,15183,1615,827,1595,2017-06-13
639,163,3829,296,156,67,2017-06-25
640,163,6581,153,90,47,2017-06-14
641,164,15179,767,660,462,2016-08-06
642,164,19034,1597,28,958,2016-09-08
643,164,8059,723,311,696,2016-09-09
644,164,10779,971,959,80,2016-08-19
645,164,4091,323,47,160,2016-08-29
646,164,20619,747,502,713,2016-08-07
647,164,15636,1163,730,966,2016-08-22
648,164,10076,671,124,165,2016-08-27
649,164,10881,1032,560,606,2016-08-12
650,164,13449,753,436,171,2016-09-10
651,164,19703,789,258,657,2016-08-17
652,164,12728,861,192,775,2016-08-14
653,165,3367,98,65,0,2016-06-04
654,165,20056,437,230,140,2016-06-11
655,165,10148,1030,144,684,2016-06-08
656,165,21341,1880,360,719,2016-06-09
657,165,12323,856,617,785,2016-06-06
658,165,18455,1680,1440,609,2016-06-05
659,165,13819,1588,72,1403,2016-06-07
660,165,19739,1796,443,453,2016-06-10
661,166,10742,241,180,17,2016-06-04
662,166,4725,279,54,243,2016-06-03
663,166,16775,1372,1326,450,2016-06-01
664,166,24187,2691,687,1032,2016-06-02
665,166,8033,396,157,390,2016-05-29
666,166,12404,865,389,61,2016-05-28
667,166,19619,1363,415,656,2016-05-30
668,166,21798,2166,2123,1979,2016-06-05
669,166,4411,156,142,28,2016-05-31
670,167,8532,576,153,9,2016-06-24
671,167,4357,104,36,60,2016-07-04
672,167,5912,547,38,32,2016-06-17
673,167,15297,1066,583,786,2016-06-12
