ReturnID,OrderId,ProductID,Return_reason,ReturnDate,ReturnStatus,RefundAmount,ReturnMethod
RET-000022,OR-048503,PRD-00003,Received wrong quantity,10-01-2023,Pending,0,Store_Drop
RET-000023,OR-114032,PRD-00228,Item not as described,18-01-2023,Approved,772.47,Courier
RET-000024,OR-087403,PRD-00192,Received wrong quantity,21-01-2023,Refunded,2396.84,Store_Drop
RET-000025,OR-061508,PRD-00139,Received wrong quantity,16-01-2023,Approved,1330.81,Courier
RET-000026,OR-001253,PRD-00243,Incorrect item shipped,06-01-2023,Rejected,0,Courier
RET-000027,OR-120400,PRD-00056,No longer needed,08-01-2023,Pending,0,Courier
RET-000028,OR-098284,PRD-00001,Delayed delivery,06-01-2023,Refunded,4888.62,Store_Drop
RET-000029,OR-045449,PRD-00011,Item not as described,21-01-2023,Rejected,0,Courier
RET-000030,OR-068963,PRD-00240,Received wrong quantity,21-01-2023,Rejected,0,Courier
RET-000031,OR-031726,PRD-00003,Delayed delivery,14-01-2023,Approved,3875.25,Courier
RET-000032,OR-102300,PRD-00001,Poor customer service,04-01-2023,Pending,0,Pickup
RET-000033,OR-066409,PRD-00175,No longer needed,20-01-2023,Rejected,0,Courier
RET-000034,OR-008178,PRD-00001,No longer needed,07-01-2023,Rejected,0,Pickup
RET-000035,OR-005092,PRD-00145,Changed mind,20-01-2023,Refunded,1234.88,Courier
RET-000036,OR-090771,PRD-00262,Product no longer wanted,21-01-2023,Rejected,0,Store_Drop
RET-000037,OR-013152,PRD-00024,Incorrect item shipped,14-01-2023,Refunded,723.98,Courier
RET-000038,OR-016126,PRD-00032,Better price found elsewhere,11-01-2023,Approved,3270.02,Store_Drop
RET-000039,OR-005418,PRD-00042,Item not as described,06-01-2023,Pending,0,Store_Drop
RET-000040,OR-022681,PRD-00059,No longer needed,21-01-2023,Rejected,0,Courier
RET-000041,OR-052815,PRD-00001,Delayed delivery,19-01-2023,Refunded,2398.96,Store_Drop
RET-000042,OR-028871,PRD-00002,Delayed delivery,10-01-2023,Refunded,9185.55,Pickup
RET-000043,OR-064363,PRD-00001,Incorrect item shipped,13-01-2023,Refunded,11944.22,Pickup
RET-000044,OR-009115,PRD-00153,Item not as described,18-01-2023,Refunded,3831.29,Courier
RET-000045,OR-052021,PRD-00001,Received wrong quantity,06-01-2023,Approved,741.89,Store_Drop
RET-000046,OR-017441,PRD-00004,Item not as described,11-01-2023,Approved,1316.42,Pickup
RET-000047,OR-031784,PRD-00011,Product no longer wanted,11-01-2023,Approved,10912.33,Courier
RET-000048,OR-055986,PRD-00226,Received wrong quantity,20-01-2023,Approved,804.42,Store_Drop
RET-000049,OR-025564,PRD-00012,Item not as described,21-01-2023,Approved,8818.55,Store_Drop
RET-000050,OR-114951,PRD-00292,Damaged item,19-01-2023,Approved,4772.33,Store_Drop
RET-000051,OR-059911,PRD-00002,Delayed delivery,07-01-2023,Approved,8078.3,Courier
RET-000052,OR-107334,PRD-00022,Changed mind,17-01-2023,Refunded,10434.12,Courier
RET-000053,OR-065011,PRD-00135,Poor customer service,05-01-2023,Refunded,3722.6,Courier
RET-000054,OR-070927,PRD-00013,Item not as described,10-01-2023,Approved,6667.29,Courier
RET-000055,OR-091988,PRD-00007,Delayed delivery,09-01-2023,Approved,5820.22,Courier
RET-000056,OR-035349,PRD-00256,No longer needed,21-01-2023,Approved,588.35,Store_Drop
RET-000057,OR-052729,PRD-00002,Incorrect item shipped,06-01-2023,Rejected,0,Courier
RET-000058,OR-003670,PRD-00042,Received wrong quantity,17-01-2023,Refunded,6035.62,Store_Drop
RET-000059,OR-059486,PRD-00049,Better price found elsewhere,09-01-2023,Refunded,524.79,Store_Drop
RET-000060,OR-040900,PRD-00122,Damaged item,18-01-2023,Approved,2288.14,Pickup
RET-000061,OR-083903,PRD-00036,Delayed delivery,08-01-2023,Approved,3912.14,Courier
RET-000062,OR-076634,PRD-00002,Poor customer service,14-01-2023,Approved,1076.64,Store_Drop
RET-000063,OR-026286,PRD-00001,Delayed delivery,20-01-2023,Approved,1154.12,Store_Drop
RET-000064,OR-106538,PRD-00001,Item not as described,09-01-2023,Approved,7342.9,Pickup
RET-000065,OR-022317,PRD-00001,Better price found elsewhere,16-01-2023,Approved,11328.36,Store_Drop
RET-000066,OR-078602,PRD-00034,Incorrect item shipped,05-01-2023,Refunded,1442.81,Pickup
RET-000067,OR-054578,PRD-00002,No longer needed,12-01-2023,Approved,8201.85,Courier
RET-000068,OR-014472,PRD-00003,Changed mind,12-01-2023,Refunded,2005.1,Pickup
RET-000069,OR-070560,PRD-00002,Poor customer service,18-01-2023,Approved,11183.71,Courier
RET-000070,OR-101320,PRD-00243,Delayed delivery,18-01-2023,Refunded,2496.37,Courier
RET-000071,OR-065314,PRD-00042,Changed mind,21-01-2023,Approved,6317.67,Courier
RET-000072,OR-059205,PRD-00029,Received wrong quantity,06-01-2023,Approved,4749.56,Courier
RET-000073,OR-017084,PRD-00001,Changed mind,21-01-2023,Pending,0,Courier
RET-000074,OR-037084,PRD-00001,Received wrong quantity,20-01-2023,Approved,8180.43,Store_Drop
RET-000075,OR-078108,PRD-00003,No longer needed,07-01-2023,Approved,3541.36,Courier
RET-000076,OR-074432,PRD-00048,No longer needed,08-01-2023,Approved,3740.2,Courier
RET-000077,OR-053215,PRD-00001,Delayed delivery,10-01-2023,Pending,0,Pickup
RET-000078,OR-000079,PRD-00002,Better price found elsewhere,20-01-2023,Refunded,3387.89,Courier
RET-000079,OR-109257,PRD-00034,Incorrect item shipped,17-01-2023,Rejected,0,Courier
RET-000080,OR-015963,PRD-00001,Item not as described,04-01-2023,Approved,9367.87,Pickup
RET-000081,OR-098871,PRD-00003,Delayed delivery,09-01-2023,Pending,0,Store_Drop
RET-000082,OR-123451,PRD-00017,Received wrong quantity,21-01-2023,Approved,1786.55,Pickup
RET-000083,OR-108588,PRD-00334,Incorrect item shipped,21-01-2023,Approved,1268.43,Store_Drop
RET-000084,OR-016029,PRD-00012,Received wrong quantity,08-01-2023,Refunded,1965.62,Courier
RET-000085,OR-060384,PRD-00008,Incorrect item shipped,05-01-2023,Approved,2915.88,Courier
RET-000086,OR-003810,PRD-00135,Poor customer service,07-01-2023,Approved,3966.55,Store_Drop
RET-000087,OR-048811,PRD-00005,Poor customer service,08-01-2023,Approved,10442.97,Courier
RET-000088,OR-062760,PRD-00055,Delayed delivery,04-01-2023,Approved,11259.22,Courier
RET-000089,OR-119395,PRD-00020,Delayed delivery,11-01-2023,Approved,2330.78,Pickup
RET-000090,OR-102962,PRD-00240,Product no longer wanted,16-01-2023,Rejected,0,Courier
RET-000091,OR-006549,PRD-00002,Poor customer service,11-01-2023,Approved,9890.75,Store_Drop
RET-000092,OR-014054,PRD-00004,Delayed delivery,13-01-2023,Rejected,0,Courier
RET-000093,OR-118158,PRD-00031,Item not as described,04-01-2023,Pending,0,Courier
RET-000094,OR-069103,PRD-00018,Changed mind,14-01-2023,Approved,10440.06,Courier
RET-000095,OR-113884,PRD-00015,Better price found elsewhere,20-01-2023,Refunded,8314.46,Store_Drop
RET-000096,OR-083407,PRD-00001,Item not as described,04-01-2023,Approved,10585.94,Courier
RET-000097,OR-088415,PRD-00017,Delayed delivery,12-01-2023,Approved,1746.63,Store_Drop
RET-000098,OR-068803,PRD-00001,Changed mind,14-01-2023,Refunded,7471.4,Store_Drop
RET-000099,OR-109147,PRD-00001,Item not as described,16-01-2023,Refunded,2685.91,Courier
RET-000100,OR-071727,PRD-00003,Poor customer service,04-01-2023,Refunded,11144.11,Store_Drop
RET-000101,OR-094209,PRD-00064,Better price found elsewhere,15-01-2023,Refunded,1793.63,Pickup
RET-000102,OR-114976,PRD-00109,No longer needed,14-01-2023,Pending,0,Courier
RET-000103,OR-036353,PRD-00018,Received wrong quantity,20-01-2023,Approved,8169.27,Courier
RET-000104,OR-038617,PRD-00032,Item not as described,13-01-2023,Refunded,1963.81,Store_Drop
RET-000105,OR-094444,PRD-00032,Poor customer service,09-01-2023,Refunded,7044.71,Store_Drop
RET-000106,OR-044813,PRD-00007,Delayed delivery,04-01-2023,Approved,3799.51,Store_Drop
RET-000107,OR-011559,PRD-00008,Product no longer wanted,18-01-2023,Refunded,5584.84,Courier
RET-000108,OR-027281,PRD-00056,Damaged item,09-01-2023,Pending,0,Courier
RET-000109,OR-118118,PRD-00031,Damaged item,20-01-2023,Pending,0,Pickup
RET-000110,OR-119772,PRD-00007,Received wrong quantity,06-01-2023,Rejected,0,Courier
RET-000111,OR-036286,PRD-00002,Damaged item,11-01-2023,Rejected,0,Courier
RET-000112,OR-078808,PRD-00134,No longer needed,04-01-2023,Approved,1450.76,Store_Drop
RET-000113,OR-056446,PRD-00106,Incorrect item shipped,06-01-2023,Refunded,2247.87,Pickup
RET-000114,OR-010397,PRD-00001,Item not as described,16-01-2023,Refunded,5096.01,Courier
RET-000115,OR-023011,PRD-00012,Incorrect item shipped,07-01-2023,Rejected,0,Store_Drop
RET-000116,OR-075820,PRD-00001,Item not as described,09-01-2023,Rejected,0,Pickup
RET-000117,OR-111122,PRD-00031,Product no longer wanted,05-01-2023,Refunded,3365.78,Courier
RET-000118,OR-001504,PRD-00002,Product no longer wanted,08-01-2023,Rejected,0,Store_Drop
RET-000119,OR-073338,PRD-00003,Received wrong quantity,18-01-2023,Refunded,9872.57,Store_Drop
RET-000120,OR-012982,PRD-00001,No longer needed,21-01-2023,Refunded,10817.89,Pickup
RET-000121,OR-096310,PRD-00007,Changed mind,18-01-2023,Approved,9145.43,Pickup
RET-000122,OR-066034,PRD-00353,Changed mind,20-01-2023,Refunded,2581.64,Courier
RET-000123,OR-072496,PRD-00017,Item not as described,06-01-2023,Pending,0,Courier
RET-000124,OR-034291,PRD-00103,Better price found elsewhere,12-01-2023,Approved,1802.63,Store_Drop
RET-000125,OR-029460,PRD-00158,Damaged item,08-01-2023,Approved,2157.59,Pickup
RET-000126,OR-051451,PRD-00002,Incorrect item shipped,10-01-2023,Approved,5270.98,Courier
RET-000127,OR-041045,PRD-00002,Item not as described,18-01-2023,Refunded,1216.06,Store_Drop
RET-000128,OR-015143,PRD-00001,Delayed delivery,04-01-2023,Rejected,0,Store_Drop
RET-000129,OR-032001,PRD-00087,Received wrong quantity,19-01-2023,Approved,14186.93,Courier
RET-000130,OR-044632,PRD-00006,Incorrect item shipped,17-01-2023,Refunded,9096.43,Store_Drop
RET-000131,OR-003113,PRD-00010,Better price found elsewhere,19-01-2023,Approved,3638.76,Store_Drop
RET-000132,OR-009167,PRD-00001,No longer needed,16-01-2023,Approved,8192.05,Store_Drop
RET-000133,OR-093783,PRD-00010,Received wrong quantity,18-01-2023,Approved,11778.3,Store_Drop
RET-000134,OR-092575,PRD-00002,Received wrong quantity,16-01-2023,Refunded,6990.51,Courier
RET-000135,OR-072900,PRD-00462,Damaged item,17-01-2023,Approved,7854.92,Courier
RET-000136,OR-028399,PRD-00324,Delayed delivery,12-01-2023,Refunded,558.29,Store_Drop
RET-000137,OR-050537,PRD-00005,Delayed delivery,14-01-2023,Rejected,0,Store_Drop
RET-000138,OR-068473,PRD-00082,Poor customer service,17-01-2023,Approved,12655.73,Store_Drop
RET-000139,OR-042702,PRD-00003,Product no longer wanted,21-01-2023,Approved,11998.94,Courier
RET-000140,OR-013151,PRD-00030,Product no longer wanted,06-01-2023,Rejected,0,Pickup
RET-000141,OR-020302,PRD-00452,Received wrong quantity,04-01-2023,Approved,2114.5,Courier
RET-000142,OR-007825,PRD-00001,Poor customer service,11-01-2023,Approved,5945.95,Courier
RET-000143,OR-016499,PRD-00095,Received wrong quantity,10-01-2023,Refunded,10732.4,Courier
RET-000144,OR-097290,PRD-00004,Poor customer service,07-01-2023,Rejected,0,Courier
RET-000145,OR-076232,PRD-00333,Poor customer service,07-01-2023,Refunded,135.95,Courier
RET-000146,OR-082951,PRD-00074,Poor customer service,16-01-2023,Pending,0,Courier
RET-000147,OR-028263,PRD-00002,Item not as described,11-01-2023,Approved,8517.72,Courier
RET-000148,OR-119319,PRD-00080,No longer needed,07-01-2023,Rejected,0,Store_Drop
RET-000149,OR-086767,PRD-00020,Incorrect item shipped,15-01-2023,Refunded,5426.35,Courier
RET-000150,OR-123900,PRD-00333,Changed mind,20-01-2023,Pending,0,Courier
RET-000151,OR-091986,PRD-00005,Received wrong quantity,17-01-2023,Rejected,0,Store_Drop
RET-000152,OR-063341,PRD-00358,Incorrect item shipped,17-01-2023,Approved,2615.22,Store_Drop
RET-000153,OR-100928,PRD-00008,Received wrong quantity,17-01-2023,Approved,8938.65,Pickup
RET-000154,OR-089744,PRD-00270,Damaged item,21-01-2023,Rejected,0,Store_Drop
RET-000155,OR-087942,PRD-00048,Item not as described,17-01-2023,Rejected,0,Pickup
RET-000156,OR-015684,PRD-00160,Poor customer service,14-01-2023,Rejected,0,Courier
RET-000157,OR-006715,PRD-00003,Item not as described,12-01-2023,Refunded,3304.43,Store_Drop
RET-000158,OR-007633,PRD-00042,Product no longer wanted,14-01-2023,Approved,6184.52,Courier
RET-000159,OR-108443,PRD-00002,No longer needed,19-01-2023,Approved,4580.49,Courier
RET-000160,OR-097858,PRD-00001,Poor customer service,12-01-2023,Refunded,8563.61,Courier
RET-000161,OR-080087,PRD-00087,No longer needed,20-01-2023,Approved,2015.7,Pickup
RET-000162,OR-040258,PRD-00005,Incorrect item shipped,19-01-2023,Refunded,9218.89,Pickup
RET-000163,OR-003539,PRD-00258,Delayed delivery,19-01-2023,Refunded,4819.72,Courier
RET-000164,OR-019244,PRD-00001,Incorrect item shipped,11-01-2023,Refunded,8455.55,Courier
RET-000165,OR-124609,PRD-00005,Delayed delivery,19-01-2023,Refunded,6605.6,Store_Drop
RET-000166,OR-108605,PRD-00393,Damaged item,15-01-2023,Pending,0,Store_Drop
RET-000167,OR-113675,PRD-00293,No longer needed,13-01-2023,Approved,1614.07,Pickup
RET-000168,OR-040018,PRD-00002,Incorrect item shipped,14-01-2023,Approved,9043.13,Pickup
RET-000169,OR-110212,PRD-00004,Better price found elsewhere,10-01-2023,Approved,8993.95,Courier
RET-000170,OR-064884,PRD-00044,Product no longer wanted,07-01-2023,Rejected,0,Courier
RET-000171,OR-063078,PRD-00016,Damaged item,11-01-2023,Approved,2563.58,Courier
RET-000172,OR-105449,PRD-00124,Item not as described,21-01-2023,Approved,1589.26,Courier
RET-000173,OR-110329,PRD-00051,Changed mind,13-01-2023,Pending,0,Courier
RET-000174,OR-055572,PRD-00002,Delayed delivery,07-01-2023,Rejected,0,Courier
RET-000175,OR-097644,PRD-00009,Changed mind,13-01-2023,Refunded,6005.21,Courier
RET-000176,OR-030622,PRD-00030,Item not as described,05-01-2023,Approved,11322.23,Store_Drop
RET-000177,OR-087355,PRD-00002,Changed mind,06-01-2023,Refunded,6155.09,Store_Drop
RET-000178,OR-078669,PRD-00121,Item not as described,08-01-2023,Approved,4112.37,Courier
RET-000179,OR-077317,PRD-00060,Item not as described,11-01-2023,Approved,8724.64,Store_Drop
RET-000180,OR-092844,PRD-00003,Changed mind,20-01-2023,Refunded,5680.92,Store_Drop
RET-000181,OR-004697,PRD-00035,Better price found elsewhere,17-01-2023,Approved,7039.24,Courier
RET-000182,OR-080216,PRD-00003,No longer needed,10-01-2023,Pending,0,Courier
RET-000183,OR-060449,PRD-00467,Product no longer wanted,06-01-2023,Approved,2462.84,Store_Drop
RET-000184,OR-097685,PRD-00011,Received wrong quantity,09-01-2023,Approved,5197.95,Pickup
RET-000185,OR-102877,PRD-00001,No longer needed,19-01-2023,Approved,875.36,Courier
RET-000186,OR-063275,PRD-00164,No longer needed,18-01-2023,Approved,5624.13,Courier
RET-000187,OR-107873,PRD-00054,Incorrect item shipped,17-01-2023,Approved,8532.79,Pickup
RET-000188,OR-124422,PRD-00014,Received wrong quantity,12-01-2023,Rejected,0,Courier
RET-000189,OR-023170,PRD-00304,No longer needed,05-01-2023,Approved,1209.68,Store_Drop
RET-000190,OR-037450,PRD-00002,Delayed delivery,13-01-2023,Refunded,1930.07,Pickup
RET-000191,OR-074434,PRD-00002,Incorrect item shipped,16-01-2023,Approved,6255.43,Store_Drop
RET-000192,OR-059235,PRD-00002,Product no longer wanted,06-01-2023,Refunded,958.4,Store_Drop
RET-000193,OR-124604,PRD-00013,Received wrong quantity,14-01-2023,Refunded,3379.23,Courier
RET-000194,OR-025821,PRD-00197,Product no longer wanted,04-01-2023,Rejected,0,Pickup
RET-000195,OR-090031,PRD-00001,Damaged item,05-01-2023,Rejected,0,Courier
RET-000196,OR-089028,PRD-00016,Damaged item,20-01-2023,Pending,0,Store_Drop
RET-000197,OR-099206,PRD-00490,Damaged item,09-01-2023,Refunded,4148.61,Store_Drop
RET-000198,OR-076257,PRD-00052,Received wrong quantity,19-01-2023,Approved,6598.54,Courier
RET-000199,OR-108218,PRD-00001,Item not as described,07-01-2023,Rejected,0,Courier
RET-000200,OR-101784,PRD-00104,Received wrong quantity,17-01-2023,Pending,0,Store_Drop
RET-000201,OR-011527,PRD-00228,Better price found elsewhere,16-01-2023,Rejected,0,Store_Drop
RET-000202,OR-088962,PRD-00011,Received wrong quantity,18-01-2023,Approved,4116.95,Courier
RET-000203,OR-104655,PRD-00001,Item not as described,16-01-2023,Rejected,0,Store_Drop
RET-000204,OR-043261,PRD-00322,Better price found elsewhere,21-01-2023,Refunded,678.55,Courier
RET-000205,OR-005150,PRD-00001,Damaged item,19-01-2023,Pending,0,Store_Drop
RET-000206,OR-100262,PRD-00002,Poor customer service,10-01-2023,Approved,6816.03,Courier
RET-000207,OR-118948,PRD-00017,Delayed delivery,19-01-2023,Approved,832.0,Pickup
RET-000208,OR-024993,PRD-00004,Damaged item,09-01-2023,Approved,6834.65,Store_Drop
RET-000209,OR-023744,PRD-00001,No longer needed,06-01-2023,Approved,11910.96,Courier
RET-000210,OR-071129,PRD-00008,Damaged item,07-01-2023,Pending,0,Courier
RET-000211,OR-092470,PRD-00004,Item not as described,13-01-2023,Refunded,8612.23,Store_Drop
RET-000212,OR-125867,PRD-00023,Item not as described,19-01-2023,Approved,5753.04,Courier
RET-000213,OR-052247,PRD-00001,Item not as described,10-01-2023,Refunded,6344.77,Courier
RET-000214,OR-003492,PRD-00005,Poor customer service,12-01-2023,Rejected,0,Store_Drop
RET-000215,OR-110979,PRD-00010,Better price found elsewhere,20-01-2023,Approved,9936.32,Courier
RET-000216,OR-090080,PRD-00027,Product no longer wanted,19-01-2023,Rejected,0,Courier
RET-000217,OR-110710,PRD-00338,Changed mind,21-01-2023,Refunded,583.17,Store_Drop
RET-000218,OR-046831,PRD-00003,Product no longer wanted,18-01-2023,Approved,10500.42,Pickup
RET-000219,OR-026783,PRD-00001,No longer needed,16-01-2023,Approved,10344.15,Store_Drop
RET-000220,OR-061353,PRD-00060,Item not as described,14-01-2023,Pending,0,Store_Drop
RET-000221,OR-019897,PRD-00004,Changed mind,16-01-2023,Pending,0,Pickup
RET-000222,OR-082916,PRD-00106,Changed mind,19-01-2023,Approved,893.36,Store_Drop
RET-000223,OR-073039,PRD-00001,Better price found elsewhere,07-01-2023,Rejected,0,Store_Drop
RET-000224,OR-044304,PRD-00169,Poor customer service,20-01-2023,Refunded,516.64,Courier
RET-000225,OR-080827,PRD-00005,Changed mind,08-01-2023,Approved,5899.14,Courier
RET-000226,OR-077625,PRD-00012,No longer needed,16-01-2023,Pending,0,Courier
RET-000227,OR-042426,PRD-00187,Product no longer wanted,21-01-2023,Refunded,7651.46,Pickup
RET-000228,OR-121791,PRD-00024,Product no longer wanted,21-01-2023,Approved,7600.78,Courier
RET-000229,OR-025659,PRD-00001,Item not as described,11-01-2023,Pending,0,Courier
RET-000230,OR-110859,PRD-00005,Damaged item,07-01-2023,Rejected,0,Pickup
RET-000231,OR-112000,PRD-00002,Product no longer wanted,18-01-2023,Approved,8481.01,Courier
RET-000232,OR-059701,PRD-00001,Poor customer service,14-01-2023,Rejected,0,Courier
RET-000233,OR-039269,PRD-00008,Delayed delivery,15-01-2023,Approved,5452.9,Courier
RET-000234,OR-010891,PRD-00010,Better price found elsewhere,17-01-2023,Refunded,8340.7,Courier
RET-000235,OR-050133,PRD-00109,Incorrect item shipped,09-01-2023,Approved,3164.61,Store_Drop
RET-000236,OR-051510,PRD-00003,Poor customer service,11-01-2023,Refunded,10997.53,Courier
RET-000237,OR-105066,PRD-00001,Incorrect item shipped,18-01-2023,Pending,0,Courier
RET-000238,OR-054091,PRD-00353,Damaged item,12-01-2023,Pending,0,Courier
RET-000239,OR-015458,PRD-00006,Poor customer service,13-01-2023,Pending,0,Store_Drop
RET-000240,OR-104390,PRD-00004,Incorrect item shipped,06-01-2023,Refunded,11370.21,Store_Drop
RET-000241,OR-099159,PRD-00001,Poor customer service,17-01-2023,Pending,0,Courier
RET-000242,OR-009277,PRD-00120,Damaged item,13-01-2023,Approved,4997.06,Store_Drop
RET-000243,OR-121806,PRD-00010,Better price found elsewhere,11-01-2023,Refunded,7077.11,Store_Drop
RET-000244,OR-075764,PRD-00273,No longer needed,13-01-2023,Approved,5874.28,Pickup
RET-000245,OR-112673,PRD-00055,Changed mind,12-01-2023,Approved,8836.19,Pickup
RET-000246,OR-080474,PRD-00001,Better price found elsewhere,19-01-2023,Rejected,0,Courier
RET-000247,OR-074806,PRD-00002,Poor customer service,15-01-2023,Approved,7821.11,Store_Drop
RET-000248,OR-113689,PRD-00036,Product no longer wanted,08-01-2023,Pending,0,Courier
RET-000249,OR-050909,PRD-00054,Delayed delivery,13-01-2023,Rejected,0,Store_Drop
RET-000250,OR-032338,PRD-00057,Item not as described,15-01-2023,Pending,0,Courier
RET-000251,OR-008027,PRD-00007,Damaged item,13-01-2023,Approved,9096.03,Courier
RET-000252,OR-010429,PRD-00005,No longer needed,08-01-2023,Rejected,0,Store_Drop
RET-000253,OR-032244,PRD-00004,Poor customer service,20-01-2023,Refunded,11005.1,Courier
RET-000254,OR-044909,PRD-00319,Poor customer service,19-01-2023,Rejected,0,Courier
RET-000255,OR-119512,PRD-00001,No longer needed,14-01-2023,Rejected,0,Courier
RET-000256,OR-059291,PRD-00041,No longer needed,06-01-2023,Approved,9172.74,Courier
RET-000257,OR-032679,PRD-00099,Incorrect item shipped,21-01-2023,Approved,2082.3,Store_Drop
RET-000258,OR-079800,PRD-00028,Product no longer wanted,12-01-2023,Refunded,1921.27,Courier
RET-000259,OR-086113,PRD-00025,Received wrong quantity,16-01-2023,Rejected,0,Pickup
RET-000260,OR-090260,PRD-00231,Incorrect item shipped,07-01-2023,Pending,0,Courier
RET-000261,OR-034234,PRD-00003,Incorrect item shipped,04-01-2023,Refunded,10668.7,Store_Drop
RET-000262,OR-073873,PRD-00099,Better price found elsewhere,11-01-2023,Pending,0,Courier
RET-000263,OR-094075,PRD-00001,Damaged item,13-01-2023,Pending,0,Store_Drop
RET-000264,OR-068818,PRD-00002,Changed mind,08-01-2023,Approved,11382.01,Courier
RET-000265,OR-068946,PRD-00328,Received wrong quantity,07-01-2023,Approved,428.72,Store_Drop
RET-000266,OR-009842,PRD-00001,Incorrect item shipped,16-01-2023,Refunded,4766.63,Pickup
RET-000267,OR-048452,PRD-00029,Poor customer service,08-01-2023,Refunded,8031.6,Store_Drop
RET-000268,OR-007979,PRD-00127,Damaged item,12-01-2023,Approved,3544.32,Courier
RET-000269,OR-060792,PRD-00001,Poor customer service,18-01-2023,Approved,10337.68,Courier
RET-000270,OR-118190,PRD-00001,Better price found elsewhere,21-01-2023,Pending,0,Courier
RET-000271,OR-073791,PRD-00195,Received wrong quantity,16-01-2023,Approved,1842.55,Courier
RET-000272,OR-104094,PRD-00177,Poor customer service,06-01-2023,Pending,0,Courier
RET-000273,OR-060963,PRD-00004,Damaged item,04-01-2023,Approved,9548.14,Courier
RET-000274,OR-118565,PRD-00018,Damaged item,10-01-2023,Approved,10042.91,Store_Drop
RET-000275,OR-044826,PRD-00010,Incorrect item shipped,10-01-2023,Rejected,0,Courier
RET-000276,OR-102392,PRD-00001,Better price found elsewhere,08-01-2023,Rejected,0,Store_Drop
RET-000277,OR-076612,PRD-00003,Damaged item,12-01-2023,Rejected,0,Courier
RET-000278,OR-070364,PRD-00244,Incorrect item shipped,21-01-2023,Approved,2026.51,Courier
RET-000279,OR-026241,PRD-00060,Incorrect item shipped,08-01-2023,Approved,5887.04,Courier
RET-000280,OR-121844,PRD-00029,No longer needed,14-01-2023,Approved,2503.83,Courier
RET-000281,OR-042361,PRD-00002,Delayed delivery,17-01-2023,Refunded,1806.97,Courier
RET-000282,OR-102299,PRD-00021,Better price found elsewhere,18-01-2023,Rejected,0,Courier
RET-000283,OR-034168,PRD-00470,Product no longer wanted,18-01-2023,Refunded,2305.33,Store_Drop
RET-000284,OR-001771,PRD-00358,No longer needed,20-01-2023,Approved,1940.56,Courier
RET-000285,OR-038577,PRD-00198,Changed mind,19-01-2023,Rejected,0,Store_Drop
RET-000286,OR-024226,PRD-00009,Item not as described,07-01-2023,Refunded,8692.62,Store_Drop
RET-000287,OR-045035,PRD-00010,Poor customer service,06-01-2023,Approved,7495.42,Courier
RET-000288,OR-039084,PRD-00001,Item not as described,12-01-2023,Refunded,7780.38,Store_Drop
RET-000289,OR-051362,PRD-00127,Delayed delivery,16-01-2023,Refunded,2793.62,Store_Drop
RET-000290,OR-021894,PRD-00013,Better price found elsewhere,17-01-2023,Approved,9620.61,Courier
RET-000291,OR-039229,PRD-00145,Received wrong quantity,21-01-2023,Pending,0,Courier
RET-000292,OR-058802,PRD-00333,No longer needed,18-01-2023,Approved,679.34,Store_Drop
RET-000293,OR-113183,PRD-00065,Damaged item,17-01-2023,Pending,0,Courier
RET-000294,OR-112170,PRD-00029,No longer needed,17-01-2023,Approved,8148.74,Courier
