OrderId,Return_reason
OR-099362,Item not as described
OR-084116,Product no longer wanted
OR-026960,Poor customer service
OR-027426,Incorrect item shipped
OR-024494,Incorrect item shipped
OR-042886,Better price found elsewhere
OR-100915,Changed mind
OR-064281,Product no longer wanted
OR-020017,No longer needed
OR-122563,Received wrong quantity
OR-042064,No longer needed
OR-029451,No longer needed
OR-120085,Poor customer service
OR-117790,Changed mind
OR-093581,Received wrong quantity
OR-001697,Damaged item
OR-054820,Changed mind
OR-023357,Incorrect item shipped
OR-057693,Better price found elsewhere
OR-079093,No longer needed
OR-034073,Damaged item
OR-095157,Poor customer service
OR-030018,Incorrect item shipped
OR-007818,Received wrong quantity
OR-063798,No longer needed
OR-011658,Item not as described
OR-034934,Damaged item
OR-059304,Incorrect item shipped
OR-013540,Incorrect item shipped
OR-110700,No longer needed
OR-068092,Received wrong quantity
OR-117607,Item not as described
OR-084137,Incorrect item shipped
OR-042897,No longer needed
OR-043094,Product no longer wanted
OR-075356,Changed mind
OR-097066,Poor customer service
OR-057091,Damaged item
OR-020115,Better price found elsewhere
OR-027209,Incorrect item shipped
OR-084657,No longer needed
OR-089603,Product no longer wanted
OR-026586,Poor customer service
OR-110948,Delayed delivery
OR-060375,Delayed delivery
OR-101153,Damaged item
OR-045500,Incorrect item shipped
OR-036017,Better price found elsewhere
OR-079733,Delayed delivery
OR-109463,Received wrong quantity
OR-086831,Damaged item
OR-010911,Item not as described
OR-059429,Damaged item
OR-037123,Received wrong quantity
OR-080226,Product no longer wanted
OR-125992,Damaged item
OR-116146,Changed mind
OR-008639,Poor customer service
OR-023071,Delayed delivery
OR-059383,Received wrong quantity
OR-032872,Product no longer wanted
OR-114029,No longer needed
OR-061397,No longer needed
OR-111427,Item not as described
OR-002252,Delayed delivery
OR-050530,Delayed delivery
OR-052737,Changed mind
OR-091311,No longer needed
OR-038925,Received wrong quantity
OR-080552,Item not as described
OR-081454,Damaged item
OR-095598,Product no longer wanted
OR-051754,Poor customer service
OR-092339,No longer needed
OR-115796,Changed mind
OR-018380,Delayed delivery
OR-100941,Delayed delivery
OR-100598,Product no longer wanted
OR-100530,Changed mind
OR-125845,Product no longer wanted
OR-052491,Better price found elsewhere
OR-123611,No longer needed
OR-002520,Damaged item
OR-093268,Product no longer wanted
OR-123397,Incorrect item shipped
OR-050649,Damaged item
OR-028719,Product no longer wanted
OR-081711,Received wrong quantity
OR-000773,Product no longer wanted
OR-096028,Received wrong quantity
OR-073188,Poor customer service
OR-007532,Product no longer wanted
OR-057093,Item not as described
OR-030454,Delayed delivery
OR-025627,No longer needed
OR-104526,Delayed delivery
OR-017769,Damaged item
OR-066775,Received wrong quantity
OR-026529,Item not as described
OR-030146,Delayed delivery
OR-022919,Incorrect item shipped
OR-018843,Better price found elsewhere
OR-016381,Damaged item
OR-072371,Poor customer service
OR-081683,No longer needed
OR-091102,Better price found elsewhere
OR-115993,Product no longer wanted
OR-040512,Incorrect item shipped
OR-037900,Product no longer wanted
OR-039530,Poor customer service
OR-116912,Received wrong quantity
OR-115722,Changed mind
OR-039555,Better price found elsewhere
OR-072322,Product no longer wanted
OR-059120,Poor customer service
OR-113516,Delayed delivery
OR-009347,Delayed delivery
OR-065055,No longer needed
OR-017531,No longer needed
OR-029774,No longer needed
OR-083177,Poor customer service
OR-088464,Incorrect item shipped
OR-115142,Incorrect item shipped
OR-003643,No longer needed
OR-076140,No longer needed
OR-086517,Damaged item
OR-028309,Poor customer service
OR-102542,Received wrong quantity
OR-034772,No longer needed
OR-037173,Delayed delivery
OR-024299,Item not as described
OR-113839,Received wrong quantity
OR-106788,Changed mind
OR-038689,Changed mind
OR-107428,Damaged item
OR-047535,Damaged item
OR-075521,Product no longer wanted
OR-079386,Changed mind
OR-001236,Poor customer service
OR-050135,Poor customer service
OR-017240,Changed mind
OR-100489,Received wrong quantity
OR-119048,Item not as described
OR-079229,Item not as described
OR-079167,Item not as described
OR-055620,Incorrect item shipped
OR-078720,Item not as described
OR-087998,Changed mind
OR-089879,Poor customer service
OR-116816,No longer needed
OR-082612,Item not as described
OR-029798,Damaged item
OR-062920,Product no longer wanted
OR-047200,Incorrect item shipped
OR-103952,Product no longer wanted
OR-045722,Better price found elsewhere
OR-102015,Received wrong quantity
OR-110920,Delayed delivery
OR-024740,Poor customer service
OR-037061,Incorrect item shipped
OR-065921,Incorrect item shipped
OR-088079,Item not as described
OR-022643,Incorrect item shipped
OR-118042,Product no longer wanted
OR-059520,Delayed delivery
OR-108013,No longer needed
OR-108409,Item not as described
OR-011176,Item not as described
OR-072257,Damaged item
OR-022648,Damaged item
OR-123771,Better price found elsewhere
OR-031636,Received wrong quantity
OR-002763,Damaged item
OR-017093,No longer needed
OR-125938,Better price found elsewhere
OR-084075,Item not as described
OR-044225,Changed mind
OR-056010,Better price found elsewhere
OR-062616,No longer needed
OR-091069,Poor customer service
OR-027672,Incorrect item shipped
OR-053430,Product no longer wanted
OR-097356,No longer needed
OR-064637,Incorrect item shipped
OR-052752,Item not as described
OR-011871,Better price found elsewhere
OR-081650,Item not as described
OR-071281,Delayed delivery
OR-091331,Received wrong quantity
OR-063703,Better price found elsewhere
OR-109922,Item not as described
OR-119147,Product no longer wanted
OR-073865,Delayed delivery
OR-022712,Better price found elsewhere
OR-116208,Changed mind
OR-096070,Damaged item
OR-016152,Item not as described
OR-063776,Changed mind
OR-092898,Incorrect item shipped
OR-121695,Delayed delivery
OR-023923,Received wrong quantity
OR-044282,Product no longer wanted
OR-082951,Incorrect item shipped
OR-104417,Product no longer wanted
OR-024457,Delayed delivery
OR-068943,Changed mind
OR-095785,Incorrect item shipped
OR-045972,Incorrect item shipped
OR-090627,Better price found elsewhere
OR-124060,Changed mind
OR-085139,Product no longer wanted
OR-040448,Incorrect item shipped
OR-009004,No longer needed
OR-052992,Poor customer service
OR-077398,Better price found elsewhere
OR-065589,Changed mind
OR-111739,Incorrect item shipped
OR-079599,Incorrect item shipped
OR-073261,Received wrong quantity
OR-099170,Damaged item
OR-035083,Delayed delivery
OR-036377,Better price found elsewhere
OR-048640,Delayed delivery
OR-077020,Poor customer service
OR-097173,Received wrong quantity
OR-097630,Damaged item
OR-084612,Item not as described
OR-007593,Poor customer service
OR-105459,Product no longer wanted
OR-087555,Better price found elsewhere
OR-116787,Received wrong quantity
OR-115260,Changed mind
OR-003211,No longer needed
OR-016705,Delayed delivery
OR-088298,Item not as described
OR-029416,Delayed delivery
OR-100699,Product no longer wanted
OR-012107,Incorrect item shipped
OR-009044,Delayed delivery
OR-015299,Item not as described
OR-019821,No longer needed
OR-014207,Delayed delivery
OR-005378,Poor customer service
OR-109050,Damaged item
OR-000391,Damaged item
OR-027130,Changed mind
OR-088213,Received wrong quantity
OR-092069,Better price found elsewhere
OR-001825,Changed mind
OR-088915,No longer needed
OR-068755,Delayed delivery
OR-063334,Damaged item
OR-110278,Incorrect item shipped
OR-124022,Better price found elsewhere
OR-057703,Poor customer service
OR-008653,Delayed delivery
OR-036636,No longer needed
OR-035169,Incorrect item shipped
OR-087916,Incorrect item shipped
OR-011071,Changed mind
OR-040506,Delayed delivery
OR-094337,Better price found elsewhere
OR-061699,Delayed delivery
OR-002867,No longer needed
OR-096142,No longer needed
OR-053690,Item not as described
OR-091527,No longer needed
OR-018096,Changed mind
OR-029439,Better price found elsewhere
OR-063897,Delayed delivery
OR-084187,Item not as described
OR-006686,Changed mind
OR-095748,Delayed delivery
OR-114861,Changed mind
OR-099754,Received wrong quantity
OR-075491,Damaged item
OR-027587,No longer needed
OR-002404,Changed mind
OR-099786,Changed mind
OR-075081,Poor customer service
OR-074863,Delayed delivery
OR-068252,Poor customer service
OR-058047,Item not as described
OR-117789,Better price found elsewhere
OR-032694,Changed mind
OR-048237,Item not as described
OR-049249,Damaged item
OR-107796,Damaged item
OR-049783,Incorrect item shipped
OR-108649,Incorrect item shipped
OR-075079,Item not as described
OR-114315,Delayed delivery
OR-019108,Received wrong quantity
OR-029429,No longer needed
OR-033247,Delayed delivery
OR-077921,Incorrect item shipped
OR-018101,Product no longer wanted
OR-108686,Better price found elsewhere
OR-010537,Received wrong quantity
OR-001853,Received wrong quantity
OR-103330,No longer needed
OR-012076,Item not as described
OR-062775,Poor customer service
OR-069005,Product no longer wanted
OR-053344,Better price found elsewhere
OR-050057,No longer needed
OR-070504,Damaged item
OR-034346,Poor customer service
OR-031058,No longer needed
OR-043852,No longer needed
OR-112965,Better price found elsewhere
OR-118242,Better price found elsewhere
OR-078873,No longer needed
OR-100171,Item not as described
OR-046862,Better price found elsewhere
OR-007372,Better price found elsewhere
OR-025071,Damaged item
OR-123001,No longer needed
OR-010192,Delayed delivery
OR-087029,Better price found elsewhere
OR-049051,Product no longer wanted
OR-049083,Changed mind
OR-116299,Incorrect item shipped
OR-093204,Delayed delivery
OR-125877,Changed mind
OR-060169,Item not as described
OR-121130,Damaged item
OR-103889,Incorrect item shipped
OR-093087,Received wrong quantity
OR-103187,Poor customer service
OR-007332,Incorrect item shipped
OR-104039,Poor customer service
OR-087659,Better price found elsewhere
OR-064887,Product no longer wanted
OR-087487,No longer needed
OR-042048,Damaged item
OR-013716,No longer needed
OR-075244,Item not as described
OR-051277,Delayed delivery
OR-076496,Damaged item
OR-115145,Poor customer service
OR-079253,Incorrect item shipped
OR-051506,No longer needed
OR-078059,Product no longer wanted
OR-116505,Product no longer wanted
OR-012190,Damaged item
OR-098683,Delayed delivery
OR-085568,Damaged item
OR-123288,Product no longer wanted
OR-108160,Poor customer service
OR-115166,Changed mind
OR-055538,Damaged item
OR-086726,Item not as described
OR-055983,Poor customer service
OR-122727,Product no longer wanted
OR-089014,Changed mind
OR-024663,Incorrect item shipped
OR-023875,Item not as described
OR-102760,Poor customer service
OR-030471,Item not as described
OR-090655,Changed mind
OR-119688,Delayed delivery
OR-030691,Received wrong quantity
OR-093794,No longer needed
OR-097410,Received wrong quantity
OR-115816,Delayed delivery
OR-120581,Poor customer service
OR-115302,Received wrong quantity
OR-021468,Delayed delivery
OR-011672,Product no longer wanted
OR-041424,No longer needed
OR-111871,No longer needed
OR-086601,Received wrong quantity
OR-022258,Item not as described
OR-037778,No longer needed
OR-056544,Received wrong quantity
OR-059634,Product no longer wanted
OR-092009,No longer needed
OR-122756,No longer needed
OR-114649,Received wrong quantity
OR-123713,Poor customer service
OR-103017,Product no longer wanted
OR-055252,Received wrong quantity
OR-068608,Product no longer wanted
OR-025933,Product no longer wanted
OR-064559,Product no longer wanted
OR-008995,No longer needed
OR-081899,No longer needed
OR-024554,Item not as described
OR-074876,Poor customer service
OR-025713,Received wrong quantity
OR-107699,Damaged item
OR-096749,Delayed delivery
OR-090202,Incorrect item shipped
OR-095612,Better price found elsewhere
OR-044005,Better price found elsewhere
OR-103267,Item not as described
OR-003869,Poor customer service
OR-105908,Item not as described
OR-057398,Better price found elsewhere
OR-098499,Product no longer wanted
OR-066269,Incorrect item shipped
OR-039963,Changed mind
OR-112480,Item not as described
OR-053741,No longer needed
OR-087085,Damaged item
OR-090422,Incorrect item shipped
OR-044389,Delayed delivery
OR-021129,Item not as described
OR-076822,Better price found elsewhere
OR-104294,Item not as described
OR-065246,Delayed delivery
OR-047285,Received wrong quantity
OR-007945,Product no longer wanted
OR-091521,Product no longer wanted
OR-100559,Item not as described
OR-070164,Delayed delivery
OR-104593,No longer needed
OR-074255,Incorrect item shipped
OR-062801,Poor customer service
OR-040414,Changed mind
OR-100865,Item not as described
OR-036591,Product no longer wanted
OR-111294,No longer needed
OR-078851,Item not as described
OR-030125,Damaged item
OR-088742,Incorrect item shipped
OR-062865,No longer needed
OR-028306,Changed mind
OR-060518,Incorrect item shipped
OR-029801,Item not as described
OR-018929,No longer needed
OR-023509,Poor customer service
OR-016282,Delayed delivery
OR-062606,Product no longer wanted
OR-078410,No longer needed
OR-019771,Item not as described
OR-080896,Damaged item
OR-093947,Item not as described
OR-057008,Product no longer wanted
OR-061781,Poor customer service
OR-095450,Damaged item
OR-002399,Changed mind
OR-014908,Item not as described
OR-115926,Changed mind
OR-111813,No longer needed
OR-030975,No longer needed
OR-093861,Changed mind
OR-033314,Received wrong quantity
OR-083750,Received wrong quantity
OR-061416,Received wrong quantity
OR-023246,Received wrong quantity
OR-073011,No longer needed
OR-015436,Better price found elsewhere
OR-076363,Received wrong quantity
OR-112918,Product no longer wanted
OR-077104,Changed mind
OR-055382,Received wrong quantity
OR-120037,Received wrong quantity
OR-099220,Item not as described
OR-018116,Incorrect item shipped
OR-050008,Better price found elsewhere
OR-100273,No longer needed
OR-026241,Incorrect item shipped
OR-046821,Delayed delivery
OR-076045,Incorrect item shipped
OR-059625,Delayed delivery
OR-124112,Delayed delivery
OR-004376,Damaged item
OR-052333,Received wrong quantity
OR-084381,Product no longer wanted
OR-035570,Poor customer service
OR-063427,Better price found elsewhere
OR-072348,No longer needed
OR-021782,Poor customer service
OR-010146,Damaged item
OR-111167,No longer needed
OR-101863,Incorrect item shipped
OR-123303,Damaged item
OR-051366,Changed mind
OR-001067,Product no longer wanted
OR-115102,Product no longer wanted
OR-076835,Damaged item
OR-013865,Better price found elsewhere
OR-113269,Delayed delivery
OR-087342,Incorrect item shipped
OR-116646,Delayed delivery
OR-033052,Changed mind
OR-037842,Better price found elsewhere
OR-001102,Poor customer service
OR-058660,Changed mind
OR-092681,Incorrect item shipped
OR-025297,Incorrect item shipped
OR-112823,Changed mind
OR-102679,Changed mind
OR-088575,Poor customer service
OR-015523,Poor customer service
OR-017669,Incorrect item shipped
OR-124352,Delayed delivery
OR-015028,Changed mind
OR-043414,Damaged item
OR-004096,Delayed delivery
OR-034554,Received wrong quantity
OR-040843,Delayed delivery
OR-055332,Poor customer service
OR-057842,Better price found elsewhere
OR-091003,Damaged item
OR-059313,Poor customer service
OR-054320,Better price found elsewhere
OR-074712,Delayed delivery
OR-055104,Product no longer wanted
OR-105131,Changed mind
OR-102625,Better price found elsewhere
OR-021826,Delayed delivery
OR-085212,Poor customer service
OR-002863,Product no longer wanted
OR-052268,Damaged item
OR-089305,Product no longer wanted
OR-084066,Incorrect item shipped
OR-026084,Item not as described
OR-100163,Item not as described
OR-091734,Received wrong quantity
OR-004789,Product no longer wanted
OR-036119,Damaged item
OR-005900,Product no longer wanted
OR-097895,Received wrong quantity
OR-117253,Product no longer wanted
OR-057041,Received wrong quantity
OR-123421,Product no longer wanted
OR-043116,Changed mind
OR-104052,Poor customer service
OR-019834,Delayed delivery
OR-100863,Better price found elsewhere
OR-001075,Incorrect item shipped
OR-115934,Damaged item
OR-045577,Better price found elsewhere
OR-121756,Delayed delivery
OR-036795,Damaged item
OR-051103,Better price found elsewhere
OR-116543,Delayed delivery
OR-001944,Delayed delivery
OR-080436,Received wrong quantity
OR-019334,Poor customer service
OR-123528,Damaged item
OR-074244,Incorrect item shipped
OR-008401,Received wrong quantity
OR-025354,Changed mind
OR-070010,Item not as described
OR-034720,No longer needed
OR-020187,Received wrong quantity
OR-012396,Changed mind
OR-049221,Damaged item
OR-060813,Incorrect item shipped
OR-039205,Better price found elsewhere
OR-114795,Item not as described
OR-064830,Incorrect item shipped
OR-041002,No longer needed
OR-101929,Delayed delivery
OR-051329,Item not as described
OR-119021,Changed mind
OR-016994,Received wrong quantity
OR-070533,Delayed delivery
OR-038558,No longer needed
OR-059075,Damaged item
OR-087453,Product no longer wanted
OR-101755,Incorrect item shipped
OR-005076,Damaged item
OR-104868,Item not as described
OR-022386,Damaged item
OR-086534,Item not as described
OR-067919,Incorrect item shipped
OR-082103,Changed mind
OR-116879,Damaged item
OR-027738,Poor customer service
OR-106098,Poor customer service
OR-106634,No longer needed
OR-026077,Poor customer service
OR-000268,Item not as described
OR-023766,Product no longer wanted
OR-015265,No longer needed
OR-071617,Poor customer service
OR-097392,Received wrong quantity
OR-026707,Changed mind
OR-123195,Changed mind
OR-075475,No longer needed
OR-065018,Delayed delivery
OR-107510,Item not as described
OR-116292,Delayed delivery
OR-031483,Product no longer wanted
OR-039109,Damaged item
OR-099575,Product no longer wanted
OR-059081,Poor customer service
OR-027125,Item not as described
OR-029185,Incorrect item shipped
OR-023756,Product no longer wanted
OR-108870,Item not as described
OR-007532,No longer needed
OR-110811,Received wrong quantity
OR-026154,Item not as described
OR-116021,No longer needed
OR-123346,Incorrect item shipped
OR-004993,Incorrect item shipped
OR-120004,Poor customer service
OR-063073,Product no longer wanted
OR-077813,Received wrong quantity
OR-032898,Item not as described
OR-006000,Item not as described
OR-007767,Item not as described
OR-083170,Incorrect item shipped
OR-046980,Received wrong quantity
OR-049294,Received wrong quantity
OR-040451,Changed mind
OR-058879,Poor customer service
OR-039727,No longer needed
OR-006334,Received wrong quantity
OR-093831,Better price found elsewhere
OR-094867,Received wrong quantity
OR-044722,Incorrect item shipped
OR-037843,Better price found elsewhere
OR-027522,No longer needed
OR-091427,Incorrect item shipped
OR-097305,Better price found elsewhere
OR-052542,Item not as described
OR-108906,No longer needed
OR-019889,Damaged item
OR-061811,Delayed delivery
OR-095411,Changed mind
OR-115558,Item not as described
OR-010785,Incorrect item shipped
OR-110480,Item not as described
OR-085533,Incorrect item shipped
OR-123066,No longer needed
OR-052974,Incorrect item shipped
OR-082055,Received wrong quantity
OR-000175,Delayed delivery
OR-066369,Incorrect item shipped
OR-038213,Incorrect item shipped
OR-104753,Item not as described
OR-038841,No longer needed
OR-082805,Changed mind
OR-075989,Poor customer service
OR-003078,Poor customer service
OR-089039,Product no longer wanted
OR-095976,Product no longer wanted
OR-096718,Item not as described
OR-054864,Item not as described
OR-111385,Product no longer wanted
OR-040641,Better price found elsewhere
OR-076761,Received wrong quantity
OR-091714,Incorrect item shipped
OR-005972,Damaged item
OR-099333,Changed mind
OR-063487,Item not as described
OR-052564,Item not as described
OR-079332,Incorrect item shipped
OR-119035,Damaged item
OR-084978,No longer needed
OR-058680,Product no longer wanted
OR-093813,Product no longer wanted
OR-049020,Delayed delivery
OR-047073,Delayed delivery
OR-065353,Received wrong quantity
OR-097337,Product no longer wanted
OR-120431,Product no longer wanted
OR-111402,Poor customer service
OR-052389,Product no longer wanted
OR-021059,Better price found elsewhere
OR-014218,Changed mind
OR-074741,Received wrong quantity
OR-008079,Poor customer service
OR-079401,Received wrong quantity
OR-065609,Changed mind
OR-077069,Received wrong quantity
OR-051341,Incorrect item shipped
OR-059556,Incorrect item shipped
OR-074555,Delayed delivery
OR-032779,Better price found elsewhere
OR-076620,No longer needed
OR-020194,No longer needed
OR-054370,Product no longer wanted
OR-090699,Received wrong quantity
OR-108095,Poor customer service
OR-030959,Delayed delivery
OR-018573,Poor customer service
OR-033865,Poor customer service
OR-065201,Item not as described
OR-101941,Changed mind
OR-108745,No longer needed
OR-052794,No longer needed
OR-094317,Changed mind
OR-100858,Product no longer wanted
OR-125497,Changed mind
OR-011377,Poor customer service
OR-039321,Item not as described
OR-101905,Poor customer service
OR-041637,Better price found elsewhere
OR-044356,Better price found elsewhere
OR-074482,Changed mind
OR-073251,No longer needed
OR-123647,Changed mind
OR-094775,Incorrect item shipped
OR-111419,Item not as described
OR-075691,Poor customer service
OR-075738,Received wrong quantity
OR-070566,Item not as described
OR-120255,Product no longer wanted
OR-006441,Changed mind
OR-113012,Poor customer service
OR-086068,Changed mind
OR-074857,Better price found elsewhere
OR-123065,No longer needed
OR-024802,Better price found elsewhere
OR-085951,Delayed delivery
OR-033089,Changed mind
OR-052029,Received wrong quantity
OR-121329,Delayed delivery
OR-107419,Delayed delivery
OR-047934,Product no longer wanted
OR-094606,Better price found elsewhere
OR-116809,Received wrong quantity
OR-055316,Damaged item
OR-122591,Item not as described
OR-111600,Changed mind
OR-054048,Received wrong quantity
OR-003405,Poor customer service
OR-023272,Changed mind
OR-070579,Damaged item
OR-048982,Poor customer service
OR-119068,Item not as described
OR-006657,Delayed delivery
OR-017648,Incorrect item shipped
OR-017000,Damaged item
OR-009531,Damaged item
OR-046898,Delayed delivery
OR-068811,Delayed delivery
OR-009084,Item not as described
OR-039957,Better price found elsewhere
OR-071485,Better price found elsewhere
OR-085019,Product no longer wanted
OR-076491,No longer needed
OR-075359,Received wrong quantity
OR-033478,Changed mind
OR-028506,No longer needed
OR-068908,Item not as described
OR-078174,Damaged item
OR-119399,Received wrong quantity
OR-017439,Changed mind
OR-083970,Received wrong quantity
OR-122937,Changed mind
OR-046436,Product no longer wanted
OR-008018,Incorrect item shipped
OR-005475,Received wrong quantity
OR-112037,Damaged item
OR-028073,Poor customer service
OR-106725,Poor customer service
OR-032281,No longer needed
OR-068733,Item not as described
OR-025077,Received wrong quantity
OR-086897,Poor customer service
OR-107328,Product no longer wanted
OR-101027,Product no longer wanted
OR-010677,Product no longer wanted
OR-027570,Incorrect item shipped
OR-047663,Item not as described
OR-088575,Better price found elsewhere
OR-034339,Item not as described
OR-100390,No longer needed
OR-005609,Incorrect item shipped
OR-097577,Poor customer service
OR-095682,No longer needed
OR-100511,No longer needed
OR-022073,Delayed delivery
OR-036642,Item not as described
OR-083603,Damaged item
OR-104516,Delayed delivery
OR-009200,Changed mind
OR-043538,Incorrect item shipped
OR-050808,No longer needed
OR-067179,Damaged item
OR-083670,Product no longer wanted
OR-110349,Poor customer service
OR-015962,Incorrect item shipped
OR-092915,No longer needed
OR-015784,Changed mind
OR-036874,Poor customer service
OR-032083,Damaged item
OR-087637,Received wrong quantity
OR-032371,Received wrong quantity
OR-008292,Item not as described
OR-064979,Item not as described
OR-018875,Received wrong quantity
OR-008087,Received wrong quantity
OR-046229,Delayed delivery
OR-074258,Item not as described
OR-079373,No longer needed
OR-105577,Incorrect item shipped
OR-068973,Product no longer wanted
OR-054711,No longer needed
OR-029913,Product no longer wanted
OR-004149,Delayed delivery
OR-009414,Poor customer service
OR-067700,No longer needed
OR-105960,Better price found elsewhere
OR-020392,No longer needed
OR-119914,Damaged item
OR-046402,Product no longer wanted
OR-012850,Product no longer wanted
OR-123719,Changed mind
OR-105900,Delayed delivery
OR-125745,No longer needed
OR-049175,Received wrong quantity
OR-003879,No longer needed
OR-083000,Damaged item
OR-087941,Damaged item
OR-009335,Poor customer service
OR-091918,Product no longer wanted
OR-013090,Better price found elsewhere
OR-055120,Better price found elsewhere
OR-003287,Product no longer wanted
OR-058786,No longer needed
OR-010981,Delayed delivery
OR-117602,Delayed delivery
OR-102929,Incorrect item shipped
OR-121842,No longer needed
OR-023750,Incorrect item shipped
OR-049473,Better price found elsewhere
OR-005359,Poor customer service
OR-121687,Incorrect item shipped
OR-097414,Received wrong quantity
OR-064284,Delayed delivery
OR-010556,Product no longer wanted
OR-095666,Damaged item
OR-073214,Received wrong quantity
OR-044130,No longer needed
OR-010325,Damaged item
OR-076198,Incorrect item shipped
OR-024248,Item not as described
OR-063302,Better price found elsewhere
OR-122263,Poor customer service
OR-002287,Changed mind
OR-121903,Damaged item
OR-009774,Damaged item
OR-075315,Incorrect item shipped
OR-039086,Changed mind
OR-124695,Product no longer wanted
OR-084840,Received wrong quantity
OR-118565,Changed mind
OR-124511,Product no longer wanted
OR-081517,Incorrect item shipped
OR-047531,Damaged item
OR-001665,Better price found elsewhere
OR-054389,Damaged item
OR-089145,Poor customer service
OR-056020,No longer needed
OR-074336,No longer needed
OR-083310,Damaged item
OR-016683,Received wrong quantity
OR-058920,Poor customer service
OR-025265,Product no longer wanted
OR-051702,Better price found elsewhere
OR-074177,Item not as described
OR-057299,Item not as described
OR-036695,Incorrect item shipped
OR-080737,Damaged item
OR-047894,Delayed delivery
OR-029805,Better price found elsewhere
OR-112790,Poor customer service
OR-095078,Item not as described
OR-101485,Damaged item
OR-043229,Received wrong quantity
OR-000229,No longer needed
OR-036253,Received wrong quantity
OR-095831,Incorrect item shipped
OR-011894,Received wrong quantity
OR-038162,Damaged item
OR-053428,Better price found elsewhere
OR-080138,Poor customer service
OR-048805,Incorrect item shipped
OR-114572,Better price found elsewhere
OR-031448,Delayed delivery
OR-059673,Received wrong quantity
OR-043178,Received wrong quantity
OR-086472,Received wrong quantity
OR-061179,Incorrect item shipped
OR-097160,No longer needed
OR-031868,No longer needed
OR-016635,Better price found elsewhere
OR-048775,Incorrect item shipped
OR-088546,Delayed delivery
OR-077389,Product no longer wanted
OR-106208,Product no longer wanted
OR-095054,Received wrong quantity
OR-017581,Received wrong quantity
OR-048478,No longer needed
OR-044703,Changed mind
OR-016874,Incorrect item shipped
OR-097108,Product no longer wanted
OR-118893,Changed mind
OR-085874,Delayed delivery
OR-029855,Better price found elsewhere
OR-096929,Poor customer service
OR-014178,Received wrong quantity
OR-004088,Incorrect item shipped
OR-022545,Changed mind
OR-059986,Poor customer service
OR-085375,Product no longer wanted
OR-023570,Damaged item
OR-105379,Incorrect item shipped
OR-110441,Changed mind
OR-106267,Damaged item
OR-119351,Incorrect item shipped
OR-071735,Item not as described
OR-117416,Item not as described
OR-011658,No longer needed
OR-125295,Poor customer service
